Instrument,Revenue,Price Close,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Return On Equity - Actual,Company Market Cap,Common Shares - Outstanding - Total,Total Assets,Interest Expense,Total Liabilities,Dividend Payout Ratio - %,Interest Bearing Liabilities - Total,Shareholders Equity - Common,Total Capital,Total Debt,Long Term Growth - Mean,"Return on Average Common Equity - %, TTM",TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,TRBC Economic Sector Code,TRBC Business Sector Code,TRBC Industry Group Code,TRBC Industry Code,TRBC Activity Code,Depreciation Depletion & Amortization - Total,"WACC Tax Rate, (%)",Earnings before Interest & Taxes (EBIT),Country of Headquarters,Operating Profit before Non-Recurring Income/Expense,Capital Expenditures - Total,year
FSEI.PK,23923000.0,0.05,,,,,214400.0,,,,,,,,,2425000.0,,,Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil Related Services and Equipment,Oil Related - Surveying & Mapping Services,50,5010,501030,50103020,5010302013,,,,United States of America,,,FY-3
0295.HK,298730788.014594,0.009370988446727,,,,1.85,140231617.957252,,,,,,,,,1460962969.34701,,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Solar Electric Utilities,59,5910,591010,59101010,5910101022,,20.86378,,Hong Kong,,,FY-3
LECG.F,1644313162.79174,111.969544283955,,,,,3968720188.10883,,,,,,,,,0.0,,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,,27.527673163606,,Germany,,,FY-3
HENY.KL,3090564196.62509,1.03203717290291,,,,-6.374,309611151.870873,,,,,,,,,345480557.593544,,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing,Petroleum Refining,50,5010,501020,50102030,5010203011,,25.06773,,Malaysia,,,FY-3
FTS.TO,6763437548.12875,41.4908362852302,1.99647998794,2.13691867038517,2.31706489786689,6.36,18996903810.0415,,,,,,,,,17819189896.812,4.242,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,,14.277,,Canada,,,FY-3
UP.BK,22184089.0456989,0.467601870407482,,,,10.914,11690046.760187,,,,,,,,,0.0,,,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,,18.52329,,Thailand,,,FY-3
AES.N,10189000000.0,19.9,1.44811,1.57395,1.68992,39.969,13212657854.4,,,,,,,,,20173000000.0,9.5,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,,35.16484,,United States of America,,,FY-3
2HR.DE,1205436854.02327,5.97917366476318,0.342618595825427,0.491905665492003,,-0.42,222555283.439704,,,,,,,,,258092504.988454,-11.4,,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,,28.38682,,Germany,,,FY-3
ATD.TO,54132400000.0,31.8650854766672,1.51951,1.81553,2.15,23.38,35677621801.0626,,,,,,,,,10379300000.0,,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing,Gasoline Stations,50,5010,501020,50102030,5010203012,,19.45759,,Canada,,,FY-3
AE.A,1811247000.0,38.07,,,,,161172657.09,,,,,,,,,6543000.0,,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing,Petroleum Product Wholesale,50,5010,501020,50102030,5010203013,,22.84838728208,,United States of America,,,FY-3
ECR.MC,750826177.611372,2.86976212362397,0.244795317733195,0.330139867142905,,11.0,301083449.274712,,,,,,,,,204621886.420196,,,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,,24.94374,,Spain,,,FY-3
ALOD.PK,325800.0,0.2,,,,,1130602.2,,,,,,,,,0.0,,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,,,,United States of America,,,FY-3
PTPh.V,0.0,,,,,,679362.563529955,,,,,,,,,7380517.48036347,,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,,23.74702,,Canada,,,FY-3
AERN.PK,28720.0,1e-06,,,,,1372.933244,,,,,,,,,133370.0,,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,,,,United States of America,,,FY-3
600795.SS,16444406091.8153,0.336119968973541,0.033759620061225,0.038623294137842,,3.774,6604891113.97914,,,,,,,,,27462440462.2368,,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,,32.81628,,China,,,FY-3
IBE.MC,40846925094.7246,8.9359506804475,0.552848307112223,0.587643187105167,0.613033747505595,9.169,65470731744.5014,,,,,,,,,45427766069.5469,7.5754,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,,21.43281,,Spain,,,FY-3
AIRP.PA,24572450283.6132,128.609380759142,5.3646275579809,5.8852824010914,6.66330150068213,12.23,66925319407.6631,,,,,,,,,16400914736.6769,4.9246,,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,,25.40194,,France,,,FY-3
LOU.V,102044509.471739,0.50053904204528,,,,,95888385.9156014,,,,,,,,,212861543.20037,,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,,23.74702,,Canada,,,FY-3
0632.HK,22524646.9833119,0.087985894736842,,,,-7.676,54232404.4967907,,,,,,,,,5080616.1745828,,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing,Petroleum Product Wholesale,50,5010,501020,50102030,5010203013,,17.281305,,Hong Kong,,,FY-3
DPAP.PA,18820494.1371657,515.660381588682,,,,,50431585.3193731,,,,,,,,,0.0,,,Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil & Gas Transportation Services,Oil & Gas Transportation Services (NEC),50,5010,501030,50103030,5010303010,,28.34194,,France,,,FY-3
EDSP.PA,859512813.039482,132.278097885792,,,,28.58,948352743.08903,,,,,,,,,23422191.3324216,,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,,33.185940371338,,France,,,FY-3
