Instrument,TRBC Activity Code,Return On Equity - Actual,"Return on Average Common Equity - %, TTM",year
DAR.N,5410202010,21.089,21.0895128343077,FY-1
GMEXICOB.MX,5120108010,25.75,26.2069333975334,FY-1
RS.N,5120102014,25.23,25.2278631303618,FY-1
SCCO.N,5120105010,44.19,44.1927930271888,FY-1
UNACEMC1.LM,5120201012,10.24,10.2245142517225,FY-1
MINSURI1.LM,5120108010,45.7,44.688876016958,FY-1
LUN.TO,5120108010,18.53,18.5287997908604,FY-1
HBM.TO,5120105012,5.82,-15.3847122457293,FY-1
CYRE3.SA,6010101050,15.63,15.6262975009795,FY-1
EAF.N,5210203010,-303.67,,FY-1
BESALCO.SN,5220102012,9.06,9.06322838476059,FY-1
HEO.TO,5220301011,0.611,5.8092513493684,FY-1
AEIS.OQ,5210203010,21.74,15.9781441513061,FY-1
PARAUCO.SN,6010101030,2.28,2.28033479418304,FY-1
ANTARCHILE.SN,5010203010,,17.6867526001837,FY-1
ENDISPC1.LM,5910101010,,12.1696681674017,FY-1
ALICORC1.LM,5440101010,-0.98,11.5959475007304,FY-1
PBH.TO,5410202010,11.55,7.87093330169934,FY-1
CCB.CN,5120201012,5.049,5.09756754352076,FY-1
HUBG.OQ,5240503010,13.73,13.7276007040165,FY-1
POR.N,5910101010,9.169,9.17293233082707,FY-1
BDGI.TO,5220102010,4.0,-3.64131355704519,FY-1
CENX.OQ,5120103011,-51.369,-34.5569227587633,FY-1
IMI.CN,5430102012,7.259,7.25947684067304,FY-1
NCH.CN,5410202010,7.889,8.25092922378207,FY-1
CASS.OQ,5220304027,,11.2845640072748,FY-1
HAYN.OQ,5120102013,,12.5449180519443,FY-1
SRCL.OQ,5220301012,8.349,-1.23011928429423,FY-1
KKR.N,5510202011,25.02,31.913707864288,FY-1
ARA.MX,6010101010,4.169,4.17447395030416,FY-1
UNFI.N,5430102010,17.8,15.0075642965204,FY-1
STLD.OQ,5120102010,61.969,60.3591521159308,FY-1
BDT.TO,5220102010,18.76,18.7604418348688,FY-1
OGE.N,5910101010,27.92,,FY-1
SBSP3.SA,5910301010,9.66,9.66303530039028,FY-1
EEFT.OQ,5220304027,14.689,5.23689766736033,FY-1
NPI.TO,5910102012,,,FY-1
BX.N,5510202011,76.78,72.87614706522,FY-1
AWK.N,5910301011,10.55,18.3682373472949,FY-1
ENGI4.SA,5910101010,,35.0394002126174,FY-1
SOL.N,5220102021,9.47,2.52672759373126,FY-1
CVI.N,5010203011,-17.3,3.18066157760814,FY-1
PRIM.N,5220102010,13.56,13.5629190349658,FY-1
HBOR3.SA,6010101010,7.9,7.77417480863691,FY-1
ENEV3.SA,5910101012,13.86,13.8571508797838,FY-1
TGH.N,5220304018,18.679,19.9542333762152,FY-1
FOR.N,5220102019,16.16,16.157599855413,FY-1
TNK.N,5010303010,-10.3,-25.2824524308486,FY-1
IPI.N,5110102010,4.059,46.4953631932645,FY-1
FRES.L,5120108010,11.869,11.8697751173743,FY-1
MYRG.OQ,5220102014,17.929,17.9272240323074,FY-1
AD_u.TO,5510202016,20.699,20.6968640615035,FY-1
NEOE3.SA,5910101010,17.42,17.4239229352096,FY-1
KRO.N,5110101010,13.55,13.5477290454191,FY-1
SFL.N,5010303010,18.5,18.4865054573229,FY-1
CENCOSUD.SN,5430102012,11.599,11.6036878290912,FY-1
BGS.N,5410202010,14.109,7.73492392977466,FY-1
HEP.N,5010303013,52.28,52.2786446457475,FY-1
CSMG3.SA,5910301011,8.14,8.13504562832868,FY-1
ENS.N,5210203011,12.609,9.50181042200924,FY-1
CNS.N,5510202011,92.189,98.4560641979219,FY-1
ORA.N,5910101020,4.29,3.38227920362936,FY-1
CPFE3.SA,5910101010,32.65,32.6528603847764,FY-1
ULH.OQ,5240503012,27.219,27.2186465799038,FY-1
WEX.N,5220304027,22.12,0.007319025084489,FY-1
EXLS.OQ,5220304010,23.449,16.2508992245427,FY-1
MDIA3.SA,5410202014,7.379,7.38399351477308,FY-1
BEEF3.SA,5410202016,59.189,80.1603262742747,FY-1
HTGC.N,5510202015,11.529,13.2636426252696,FY-1
SPWR.OQ,5020101013,7.7,1.53957575237586,FY-1
MULT3.SA,6010101030,7.72,7.19769838352459,FY-1
CSAN3.SA,5010203010,21.41,47.8589334423194,FY-1
ACM.N,5220102010,14.08,14.9971363181917,FY-1
CF.N,5110102011,29.929,29.9281984334204,FY-1
DK.N,5010203011,-24.589,-13.4988689568099,FY-1
TGMA3.SA,5240503012,16.559,16.5609389327538,FY-1
THS.N,5410202010,3.609,-4.25830099180681,FY-1
AMP.N,5510202010,47.159,46.7479674796748,FY-1
ET.N,5010303012,20.789,23.6597455400991,FY-1
DHT.N,5010303014,-2.9,-1.06861647511462,FY-1
CLMT.OQ,5010203011,74.39,,FY-1
SK.SN,5440101010,,12.104964264785,FY-1
ENGIEC1.LM,5910101010,,5.63506361750102,FY-1
AGRO3.SA,5410201011,23.65,23.6481701540632,FY-1
PASAB.MX,5220301012,2.733,4.3689200533307,FY-1
JBSS3.SA,5410202016,48.64,48.6393591423525,FY-1
EQTL3.SA,5910101010,31.82,31.8236497734094,FY-1
EVEN3.SA,6010101050,12.96,13.0598492078534,FY-1
CODI.N,5560101010,16.039,-3.30036583449917,FY-1
TAEE11.SA,5910101010,34.829,34.832400520508,FY-1
MRFG3.SA,5410202016,156.07,144.453258842154,FY-1
WSP.TO,5220102010,13.56,10.8314560486684,FY-1
G.N,5220304010,25.339,19.8023134715956,FY-1
DXT.TO,5220304010,8.55,8.07082308808812,FY-1
CLNE.OQ,5010203010,1.3,-14.7782532195446,FY-1
TCSA3.SA,6010101010,-27.05,-27.0468724605809,FY-1
WU.N,5220304027,330.91,297.23349317595,FY-1
BDI.TO,6010101010,9.119,9.10577032741683,FY-1
SAR.N,5510202010,13.859,13.8598545062361,FY-1
CSIQ.OQ,5020101013,4.309,5.65017699810619,FY-1
SPRO.NFF,5220304018,28.622,,FY-1
NWC.TO,5430102012,28.449,29.3481588913061,FY-1
SMTO3.SA,5410202022,31.83,31.8294631260093,FY-1
CQP.A,5010303010,208.569,230.708035003978,FY-1
JHSF3.SA,6010101030,24.12,,FY-1
TIPT.OQ,5560101010,1.89,10.1282915120864,FY-1
FLNG.OL,5010303014,16.78,18.8111532087568,FY-1
SLCE3.SA,5410201010,32.859,32.8567714137711,FY-1
EZTC3.SA,6010101050,10.3,10.2969597338717,FY-1
ELET6.SA,5910101021,7.549,7.54834151830884,FY-1
ISA.CN,5910101010,12.05,12.0990720782553,FY-1
VRTS.OQ,5510202010,37.27,27.0402190957881,FY-1
PLAG.A,5410202010,14.63,-29.8705803478909,FY-1
CIEL3.SA,5220304027,10.009,10.014434941712,FY-1
CPX.TO,5910102010,7.7,1.83792815371763,FY-1
AESB3.SA,5910101020,14.779,,FY-1
ALUP11.SA,5910101010,18.134,18.1346038708744,FY-1
DIRR3.SA,6010101050,12.63,12.6280337694448,FY-1
PAGP.OQ,5010303010,4.0,4.004004004004,FY-1
GNRC.N,5210203018,21.277,29.5994497327602,FY-1
CVE.TO,5010201010,11.65,2.78001206515182,FY-1
GGD.TO,5120108010,15.019,3.75507173353841,FY-1
MILS3.SA,5220304018,,9.3653149985676,FY-1
SIMH3.SA,5240503010,30.41,30.4050381276305,FY-1
ALOS3.SA,6010101030,4.139,4.13590987331342,FY-1
FLT.N,5220304027,35.67,26.9848349185976,FY-1
CHDRAUIB.MX,5430102012,11.16,11.0629598174239,FY-1
AMRC.N,5020101019,13.199,11.7522932944163,FY-1
KNX.N,5240503010,12.71,11.9872288962348,FY-1
TRGP.N,5010303010,16.109,-0.690142958184195,FY-1
HHH.N,6010101010,1.51,1.51119292923334,FY-1
3665.TW,5210203010,13.099,14.3582491541653,FY-1
CAML3.SA,5410202010,14.199,17.1018636572869,FY-1
MOS.N,5110102011,19.039,16.156151693047,FY-1
GEI.TO,5010203010,21.9,21.9150369851093,FY-1
ENPH.OQ,5020101013,74.45,31.821309375482,FY-1
OAK_pa.N,5510202010,16.36,55.0841081203267,FY-1
MPC.N,5010203010,6.459,3.00382191922322,FY-1
SLCA.N,5120105010,-1.03,-5.53697287767277,FY-1
TCPC.OQ,5510202011,9.099,,FY-1
SNDR.N,5240503010,18.179,18.1010425736164,FY-1
CG.OQ,5510202011,41.359,74.664290554956,FY-1
PFGC.N,5430102010,14.55,4.16235015539441,FY-1
SMU.SN,5430102010,10.25,9.45862219510383,FY-1
PBF.N,5010203010,-16.94,12.9448024656767,FY-1
PSX.N,5010203010,12.39,6.84665792922674,FY-1
POST.N,5410202013,14.075,24.5147088252952,FY-1
SQ.N,5220304027,30.149,5.58522532833647,FY-1
SUN.N,5010203010,72.629,61.8156618156618,FY-1
MPLX.N,5010303010,26.0,25.1359102778135,FY-1
VESTA.MX,6010101040,13.58,13.5771667001445,FY-1
INRETC1.LM,5430102012,7.71,7.70981221119961,FY-1
SAMG.OQ,5510202014,37.25,19.4571903409279,FY-1
WES.N,5010203010,31.35,31.3497123026211,FY-1
NVEE.OQ,5220102015,14.7,9.25549843981433,FY-1
EVTC.N,5220304010,49.689,40.0844327964446,FY-1
SFM.OQ,5430102010,26.519,26.5219542584087,FY-1
CWENa.N,5910102012,2.79,2.78764689805958,FY-1
ASC.N,5010303014,,-12.4407521756694,FY-1
MUSA.N,5010203012,49.88,49.8837428517564,FY-1
AGAS.OL,5010303014,6.48,6.47529891967435,FY-1
LPG.N,5010303014,5.74,7.70604328014809,FY-1
IBP.N,5220102016,43.76,32.2715897079163,FY-1
OGS.N,5910201011,9.009,9.00899288934838,FY-1
ENLC.N,5010303010,7.349,1.58983640299514,FY-1
ARES.N,5510202011,29.76,27.1032012561067,FY-1
WLKP.N,5110101010,28.89,28.8940576887064,FY-1
CVEO.N,6010101050,-0.2,-0.187227197762391,FY-1
NEP.N,5910101010,5.139,5.13974864003001,FY-1
AXTA.N,5110101012,26.449,18.0388940155166,FY-1
HESM.N,5010303010,28.199,28.1981160741416,FY-1
LOGG3.SA,6010101010,11.58,11.5810718977226,FY-1
SUM.N,5120201010,7.83,8.92216846731282,FY-1
TWM.TO,5010203010,13.71,13.7120030822105,FY-1
BLD.N,5220102016,24.1,21.7079566451876,FY-1
RUN.OQ,5020101013,-2.5,-1.24560371584276,FY-1
ENR.N,5210203011,90.93,-96.8537939543492,FY-1
PYPL.OQ,5220304027,26.129,19.9731710822594,FY-1
KHC.OQ,5410202010,7.269,1.56336455367652,FY-1
MEGA3.SA,5910101023,7.09,7.71833378174577,FY-1
ACI.N,5430102010,59.89,59.0494147945458,FY-1
WSC.OQ,5220304018,8.699,6.07323581823143,FY-1
SITE.N,5410201022,25.739,25.7354131807632,FY-1
CSWI.OQ,5220102010,7.12,15.0485678366963,FY-1
H.TO,5910101010,9.009,9.00942955839791,FY-1
LACOMERUBC.MX,5430102012,6.23,6.22506453126644,FY-1
USFD.N,5430102010,9.33,3.331039229181,FY-1
ATKR.N,5210203010,50.89,85.0285383512026,FY-1
ENELCHILE.SN,5910101010,10.56,2.64052151551206,FY-1
HRI.N,5220304018,26.6,26.0748152888475,FY-1
PLANI.MX,6010101030,,3.1263670789718,FY-1
AA.N,5120103010,32.729,10.7478391582112,FY-1
INSW.N,5010303014,,-12.4654611329776,FY-1
LW.N,5410202010,72.31,47.7707763642849,FY-1
VRRM.OQ,5220304017,40.1,14.4036168024242,FY-1
IMXI.OQ,5220304027,39.48,39.4798167727907,FY-1
