Instrument,Segment Name,Segment Code,year,number of segments
NTRS.OQ,Treasury and Other,,-4,4
NTRS.OQ,Unallocated,,-4,4
NWN.N,Other(NW Holdings),,-4,2
NWN.N,Utility,221210,-4,2
NWE.OQ,Gas Utility,"211120, 486210, 221210",-4,4
NWE.OQ,Eliminations,,-4,4
NWE.OQ,All Other,,-4,4
NWE.OQ,Electric Utility,"221118, 221122, 221121, 221112",-4,4
NUE.N,Raw Materials,"331110, 331492",-4,3
NUE.N,Steel Mills,331110,-4,3
NUE.N,Steel Products,"332322, 332312, 331222, 331210",-4,3
MX.TO,,,-4,0
OLN.N,Chlor Alkali Products and Vinyls,"325180, 325199, 325120",-4,3
OLN.N,Winchester,"332993, 332992",-4,3
OLN.N,Epoxy,"325211, 325199",-4,3
PPG.N,Performance Coatings,"561910, 325998, 325510",-4,2
PPG.N,Industrial Coatings,"325520, 325510",-4,2
PCG.N,,,-4,0
PAAS.TO,,,-4,0
PKI.TO,Canada Retail,"457210, 424720",-4,5
PKI.TO,Canada Commercial,445131,-4,5
PKI.TO,Corporate,,-4,5
PKI.TO,Supply,424720,-4,5
PKI.TO,USA,"457110, 424720",-4,5
WTRG.N,Other,,-4,2
WTRG.N,Regulated Water,221310,-4,2
PPC.OQ,Other Products,"424910, 424440, 311615",-4,2
PPC.OQ,Chicken,"424440, 311615",-4,2
TROW.OQ,,,-4,0
PNM.N,Corporate & Other,,-4,3
PNM.N,PNM Electric,"221118, 221114, 221113, 221112",-4,3
PNM.N,TNMP Electric,"486210, 221210, 221122, 221121",-4,3
KWR.N,Operating Segment- EMEA,"332811, 324191",-4,4
KWR.N,Operating Segment- Asia Pacific,"332811, 324191",-4,4
KWR.N,Operating Segment- South America,"332811, 324191",-4,4
KWR.N,Operating Segment- North America,"332811, 325998",-4,4
RPM.N,Consumer Segment,"325998, 325991, 325520, 325510",-4,4
RPM.N,Specialty Segment,"325998, 325991, 325510, 324122",-4,4
RPM.N,PCG Segment,"325520, 325510, 324122",-4,4
RPM.N,CPG Segment,"325180, 326199",-4,4
RRX.N,Eliminations,,-4,5
RRX.N,Power Transmission Solutions,335312,-4,5
RRX.N,Climate Solutions,335312,-4,5
RRX.N,Industrial Systems,335312,-4,5
RRX.N,Commercial Systems,335312,-4,5
ROL.N,,,-4,0
R.N,Eliminations,,-4,4
R.N,Fleet Management Solutions,"532120, 484121",-4,4
R.N,Supply Chain Solutions,"493110, 488999, 484121",-4,4
R.N,Dedicated Transportation Solutions,"811198, 541614, 532120, 488999",-4,4
EIX.N,,,-4,0
SEIC.OQ,Institutional Investors,"523940, 518210",-4,5
SEIC.OQ,Investment Advisors,"523940, 518210",-4,5
SEIC.OQ,Investment Managers,"523940, 525910, 518210",-4,5
SEIC.OQ,Private Banks,"523940, 518210",-4,5
SEIC.OQ,Investments in New Business,"523940, 518210",-4,5
SJW.N,Real Estate Services,"531312, 531120",-4,3
SJW.N,Water Utility Services,221310,-4,3
SJW.N,All Other,,-4,3
ATRL.TO,Mining and Metallurgy,"212390, 213114",-4,8
ATRL.TO,Clean Power,"237130, 236220, 236210",-4,8
ATRL.TO,Oil & Gas(Previously Hydrocarbons & Chemicals),"211120, 213112",-4,8
ATRL.TO,Capital,523940,-4,8
ATRL.TO,Infrastrcture Services,541990,-4,8
ATRL.TO,Nuclear,"541330, 221113",-4,8
ATRL.TO,EDPM,"541330, 236220",-4,8
ATRL.TO,Thermal Power,"221118, 541330",-4,8
FSZ.TO,,,-4,0
SVT.A,,,-4,0
SHW.N,Consumer Brands group,"424950, 325510",-4,4
SHW.N,Administrative,,-4,4
SHW.N,Performance coatings group,325510,-4,4
SHW.N,The Americas group,424950,-4,4
CPLE6.SA,DIS - Distribution,221111,-4,7
CPLE6.SA,HOL - Holding,,-4,7
CPLE6.SA,Eliminations,,-4,7
CPLE6.SA,TEL - Telecommunications,"517810, 517111",-4,7
CPLE6.SA,GAS,,-4,7
CPLE6.SA,GET - Generation & Transmission,,-4,7
CPLE6.SA,Commercialization,221122,-4,7
AOS.N,North America,"333310, 332410",-4,4
AOS.N,Inter-segment,,-4,4
AOS.N,China,"333310, 333415, 332410",-4,4
AOS.N,All other Rest of World,"334512, 332410",-4,4
SJM.N,International and Away From Home,"722310, 424480, 311920",-4,4
SJM.N,U.S. Retail Consumer Foods,"424420, 311911, 311421",-4,4
SJM.N,U.S. Retail Coffee,311920,-4,4
SJM.N,U.S. Retail Pet Foods,311111,-4,4
SWX.N,Natural Gas Operations,221210,-4,3
SWX.N,Construction Services,213112,-4,3
SWX.N,other,,-4,3
SYY.N,SYGMA,"424490, 424480, 424420, 311612",-4,4
SYY.N,Other,424990,-4,4
SYY.N,U.S. Foodservice Operations,"424480, 424420, 424410, 311612",-4,4
SYY.N,International Foodservice Operations,"424480, 424420, 424410, 311612",-4,4
TRNS.OQ,Distribution,"519290, 541810, 334514",-4,2
TRNS.OQ,Service,"562910, 541990, 541380",-4,2
TSN.N,Intersegment,,-4,6
TSN.N,Prepared Foods,"311830, 311612, 311412",-4,6
TSN.N,Pork,"311612, 311611",-4,6
TSN.N,Other,,-4,6
TSN.N,Chicken,"311615, 112320",-4,6
TSN.N,Beef,"311611, 112111",-4,6
X.N,USSE,331210,-4,5
X.N,Tubular,331210,-4,5
X.N,Reconciling Items and Eliminations,,-4,5
X.N,Other,,-4,5
X.N,Flat-rolled,"331110, 331221",-4,5
WM.N,Other (a),"562211, 562112",-4,3
WM.N,Other,,-4,3
WM.N,Solid Waste,"562212, 562111",-4,3
UNF.N,Specialty Garments,"315210, 315250, 812332",-4,6
UNF.N,First-Aid,"424210, 423450",-4,6
UNF.N,US & Canadian rental and Cleaning,,-4,6
UNF.N,Net Interco MFG Elim,,-4,6
UNF.N,MFG,"315250, 314999",-4,6
UNF.N,Corporate,,-4,6
UTL.N,Non-Regulated,"523150, 541618, 541611",-4,4
UTL.N,Electric,"221122, 221121",-4,4
UTL.N,Gas,"486210, 221210",-4,4
UTL.N,Other,,-4,4
URB.TO,,,-4,0
VICR.OQ,Corporate,,-4,5
VICR.OQ,Eliminations,,-4,5
VICR.OQ,VI Chip,335999,-4,5
VICR.OQ,Picor,"335999, 334413, 238210",-4,5
VICR.OQ,BBU,"335999, 334220",-4,5
