Instrument,Segment Name,Segment Code,year,number of segments
600900.SS,Other Operating,,-4,3
600900.SS,Others,,-4,3
0836.HK,Eliminations,,-4,4
0836.HK,Coal Mining,212114,-4,4
0836.HK,Thermal Power,221112,-4,4
0836.HK,Renewable Energy,221118,-4,4
600096.SS,Other Business,,-4,7
600096.SS,Coal Mining Industry,"212115, 212114",-4,7
600096.SS,Engineering Materials Industry,"327332, 327331, 327320, 327310",-4,7
600096.SS,Phosphate Mining Industry,212390,-4,7
600096.SS,Fertilizer Related Industry,"325314, 325312, 325311",-4,7
600096.SS,Phosphorus Chemical Industry,"325180, 325312",-4,7
600096.SS,Business Logistics Industry,"493130, 484122, 484121, 482111",-4,7
000898.SZ,Other,,-4,2
000898.SZ,Metal Smelting,331110,-4,2
000792.SZ,Other Business,,-4,5
000792.SZ,Storage & Transportation,561990,-4,5
000792.SZ,Manufacturing,"325180, 212390, 327310",-4,5
000792.SZ,Trade,424690,-4,5
000792.SZ,Department Stores,455110,-4,5
600028.SS,Chemical Manufacturing,"325110, 324110",-4,6
600028.SS,Marketing and Distribution,"457120, 424720, 424710",-4,6
600028.SS,Petroleum Refine,"325110, 324110",-4,6
600028.SS,Corporate Expense/Other,,-4,6
600028.SS,Crude Petroleum and Natural Gas Extraction,211120,-4,6
600028.SS,Other from Main Business,,-4,6
3382.T,Finance related,"522210, 522110",-4,8
3382.T,Eliminations and Corporate,,-4,8
3382.T,Super store,445110,-4,8
3382.T,Department store,455110,-4,8
3382.T,Other,"531390, 531210",-4,8
3382.T,Oversea Convenience Store,"445131, 551112",-4,8
3382.T,Japan Convenience Store,445131,-4,8
3382.T,Specialty Stores Business,445110,-4,8
600048.SS,Real Estate,"531120, 531110, 236220, 236117",-4,3
600048.SS,Other Business Operation,,-4,3
600048.SS,Other,"531312, 531311, 236220, 236117",-4,3
601006.SS,Others Business,,-4,2
601006.SS,Railway Transportation,"488210, 482112, 482111",-4,2
0552.HK,,,-4,0
YAZG.SI,Investment,523910,-4,4
YAZG.SI,Shipbuilding,336611,-4,4
YAZG.SI,Others,,-4,4
YAZG.SI,Trading,"424690, 423510",-4,4
601600.SS,Trade,"423520, 423510",-4,6
601600.SS,Original Aluminum Plate,331313,-4,6
601600.SS,Headquater and Other,,-4,6
601600.SS,Alumina Plate,"331313, 212290",-4,6
601600.SS,Energy,"221118, 333248, 423520",-4,6
601600.SS,Intercompany Eliminations,,-4,6
601857.SS,Oil Exploration,211120,-4,5
601857.SS,Natural Gas/ Transportation,486210,-4,5
601857.SS,Head quarters/Other,,-4,5
601857.SS,Petroleum Refineries & Petrochemical,"325110, 324110",-4,5
601857.SS,Petroleum Products Selling,424720,-4,5
601390.SS,Others,"212230, 212290, 561499, 523910",-4,5
601390.SS,Real Estate Development,"531312, 531311, 236220, 236117",-4,5
601390.SS,Exploration and Consulting Services,"541370, 541330",-4,5
601390.SS,Equipment and Parts Manufacturing,333120,-4,5
601390.SS,Construction,"237990, 237310, 237110, 236220",-4,5
601898.SS,Mining Equipment,333131,-4,7
601898.SS,Other,,-4,7
601898.SS,Intercompany Eliminations,,-4,7
601898.SS,Unallocated Items,,-4,7
601898.SS,Coal Chemical Division,324199,-4,7
601898.SS,Finance,522180,-4,7
601898.SS,Coal Division,"212115, 212114",-4,7
601186.SS,Real Estate Operations,"236220, 236117",-4,5
601186.SS,Other Business Operations,,-4,5
601186.SS,Manufacturing Operations,333120,-4,5
601186.SS,"Survey, Design and Consultancy Operations","541370, 541330",-4,5
601186.SS,Construction Operations,"237990, 237310, 236220, 236210",-4,5
0142.HK,Telecommunications,517112,-4,5
0142.HK,Consumer Food Products,"311824, 311942, 311919, 311423",-4,5
0142.HK,Infrastructure,"221310, 221122",-4,5
0142.HK,Natural Resources,"311314, 212230, 212220",-4,5
0142.HK,Head office,551112,-4,5
0173.HK,Others,,-4,3
0173.HK,Property Investment,"721110, 531120, 531110",-4,3
0173.HK,Property Development,"531120, 531110, 236220, 236117",-4,3
0542.HK,Property Development,"531120, 531110, 236220, 236117",-4,3
0542.HK,Other Business,"551112, 424210",-4,3
0542.HK,Hotel Business,"721110, 531210",-4,3
1304.TW,,,-4,0
2802.T,Eliminations and Corporate,,-4,6
2802.T,Food Business,"311999, 311942",-4,6
2802.T,Other,311224,-4,6
2802.T,Overseas Food,"311942, 311412",-4,6
2802.T,Health Care,"335999, 325411",-4,6
2802.T,Life Support,"325998, 325199",-4,6
6754.T,Eliminations or Corporate,,-4,4
6754.T,Test and Measurement,"334519, 334515, 334290",-4,4
6754.T,PQA,"334519, 334515",-4,4
6754.T,Other,"624190, 541612, 531110, 484121",-4,4
4401.T,Chemicals,"325180, 325211, 325199",-4,5
4401.T,Food Business,"311942, 311225",-4,5
4401.T,Eliminations and Corporate,,-4,5
4401.T,Other,"531390, 524210, 484110",-4,5
4401.T,Life Science,"325412, 325320",-4,5
4216.T,Industrial Resin,325211,-4,4
4216.T,Pipe material system,"332913, 326122, 237990",-4,4
4216.T,water disposal business,237110,-4,4
4216.T,Eliminations and Corporate,,-4,4
9740.T,Security Business,"561621, 561612, 423610",-4,3
9740.T,Eliminations and Corporate,,-4,3
9740.T,Build Management & Real Estate Bus,"561720, 531312, 531120",-4,3
8217.T,,,-4,0
6366.T,Engineering business,,-4,3
6366.T,Other,,-4,3
6366.T,Eliminations and Corporate,,-4,3
9504.T,Electricity,"221118, 221113, 221112, 221111",-4,5
9504.T,Elimination and Corporate,,-4,5
9504.T,Total Energy Supply,"221114, 221113, 221112, 221111",-4,5
9504.T,Information & Communication,"519290, 517810",-4,5
9504.T,Other,"541810, 541330",-4,5
4617.T,Eliminations and Corporate,,-4,6
4617.T,operating segment-Europe/USA,"325510, 238320",-4,6
4617.T,operating segment-Southeast Asia,"325510, 238320",-4,6
4617.T,operating segment-Korea,"325510, 238320",-4,6
4617.T,operating segment-China,"325510, 238320",-4,6
4617.T,operating segment-Japan,"325510, 238320",-4,6
4202.T,Cellulosic,"493110, 326113",-4,7
4202.T,Eliminations and Corporate,,-4,7
4202.T,Organic Chemicals,"424690, 325211",-4,7
4202.T,Elimination/Corporate,,-4,7
4202.T,Synthetic Resin,325211,-4,7
4202.T,Pyrotechnic Product,325998,-4,7
4202.T,Others,"493110, 484110, 339999, 325998",-4,7
5471.T,"Automobile Parts, Industrial Machinery Parts",,-4,6
5471.T,Electronic And Magnetic Materials,,-4,6
5471.T,Special Steel Business,,-4,6
5471.T,Distribution And Service,,-4,6
5471.T,Engineering business,,-4,6
5471.T,Eliminations and Corporate,,-4,6
6367.T,Air-Conditioning And Refrigeration Business,"335999, 333415",-4,4
6367.T,Other Businesses,"333998, 541511, 333996, 332911",-4,4
6367.T,Chemicals Operations,"325998, 325211, 325120",-4,4
6367.T,Eliminations and Corporate,,-4,4
1878.T,Eliminations and Corporate,,-4,6
1878.T,Eliminations/Corporate,,-4,6
1878.T,Other,"721110, 623110, 424720",-4,6
1878.T,Construction,"236220, 236115",-4,6
1878.T,Real Estate Business,"531390, 531311, 531210, 531110",-4,6
1878.T,Financing,"531390, 522292",-4,6
5714.T,Other Divisions,"551112, 531120, 237990",-4,7
5714.T,Heat Treatment Department,332811,-4,7
5714.T,Environment And Recycling Sector,562219,-4,7
5714.T,Metal Processing Sector,"331420, 331410, 332811",-4,7
5714.T,Smelting Sector,"331410, 212230, 212220",-4,7
5714.T,Eliminations and Corporate,,-4,7
5714.T,Electronic Materials Sector,334413,-4,7
4061.T,Eliminations and Corporate,,-4,7
4061.T,Other Businesses,541330,-4,7
4061.T,Electronic High-tech products,"334412, 326112",-4,7
4061.T,Life Environment Products,335999,-4,7
4061.T,Elastomer Function Resin,325211,-4,7
4061.T,Life Innovation,325414,-4,7
4061.T,Elastomer InfraSolution,"327120, 325314, 327310, 325212",-4,7
2206.T,,,-4,0
5803.T,Other,,-4,6
5803.T,Eliminations and Corporate,,-4,6
5803.T,Energy-Information Company,"335999, 335931, 335929, 335921",-4,6
5803.T,Electronics Company,"335999, 334417, 334412",-4,6
5803.T,Auto Company,"336320, 334419",-4,6
5803.T,Real Estate Company,"531120, 531110",-4,6
2607.T,Soybean Protein,311224,-4,5
2607.T,Eliminations and Corporate,,-4,5
2607.T,Oils and fats business,311225,-4,5
2607.T,Materials for emulsion and fermentation,"311513, 311512",-4,5
2607.T,Chocolate for business,311351,-4,5
6755.T,Air-Condition,"541512, 333415",-4,4
6755.T,Infor.&Communication Electronic Device,"561320, 335999, 334290",-4,4
6755.T,Other,"562920, 541690",-4,4
6755.T,Eliminations and Corporate,,-4,4
9075.T,Transportation Business,"484110, 483211",-4,5
9075.T,Processing And Distribution Business,"713950, 561510, 561311, 493110",-4,5
9075.T,Eliminations and Corporate,,-4,5
9075.T,Other Businesses,"445131, 561320, 531120, 524210",-4,5
9075.T,International Business,"493110, 488510, 484110",-4,5
4998.T,Operating Segment Southeast Asia,"424910, 325612, 325320, 325311",-4,4
4998.T,Operating Segment Japan,"424910, 325612, 325320, 325311",-4,4
4998.T,Elimination,,-4,4
4998.T,Operating Segment Others,"424910, 325612, 325320, 325311",-4,4
9757.T,Business Consultant,"541690, 541618, 541611",-4,5
9757.T,Eliminations and Corporate,,-4,5
9757.T,Other,541512,-4,5
9757.T,Rojisutekusu Business,"561421, 551112, 541614",-4,5
9757.T,Direct recycling,541611,-4,5
5801.T,Eliminations and Corporate,,-4,5
5801.T,Electrical And Electronics,"331420, 331318, 335910, 335932",-4,5
5801.T,"Business Services, Etc.","531390, 335931, 221111",-4,5
5801.T,Infrastructure,"221118, 488999, 335921",-4,5
5801.T,Function product,"331420, 488999",-4,5
8078.T,Other,"713110, 423310",-4,8
8078.T,Food Business,424460,-4,8
8078.T,Petroleum and chemicals business,424720,-4,8
8078.T,Steel Business,"423510, 331221",-4,8
8078.T,Recycled Raw Materials Business,423510,-4,8
8078.T,Primary Raw Materials Business,423510,-4,8
8078.T,Eliminations and Corporate,,-4,8
8078.T,Oversea wholesale subsidary,"424690, 424460, 423510",-4,8
8276.T,Others,"722511, 713990, 713950, 531120",-4,4
8276.T,Retail Shop Related,"311710, 812930, 531120, 311615",-4,4
8276.T,Eliminations and Corporate,,-4,4
8276.T,Retail Shop,"455110, 445110",-4,4
8803.T,Eliminations and Corporate,,-4,4
8803.T,Leasing Business,"531120, 531110",-4,4
8803.T,Other,"531312, 524210",-4,4
8803.T,Real Estate Solution Business,"531210, 531110, 236117, 236116",-4,4
4112.T,Basic Chemicals Business,"325180, 325199",-4,7
4112.T,Eliminations and Corporate,,-4,7
4112.T,Other,541380,-4,7
4112.T,Functional Resin,"325520, 325211",-4,7
4112.T,Functional Dyes,325130,-4,7
4112.T,AgroSciences,325320,-4,7
4112.T,Distribution connection,"541614, 493110, 484230, 484110",-4,7
9509.T,Electric Power Industry,221122,-4,3
9509.T,Other Businesses,"513210, 334515, 237990, 237130",-4,3
9509.T,Eliminations/Corporate,,-4,3
4992.T,Other,424720,-4,4
4992.T,Pesticide,"424910, 325320",-4,4
4992.T,Eliminations and Corporate,,-4,4
4992.T,Fine Chemical,"325180, 424690, 325998, 325199",-4,4
3865.T,Other,"333243, 811310, 493110, 423310",-4,4
3865.T,Eliminations and Corporate,,-4,4
3865.T,Packaging paper processing bus.,322219,-4,4
3865.T,Pulp and paper,"322120, 424120, 424110, 322110",-4,4
2810.T,Eliminations and Corporate,,-4,6
2810.T,Healthy food,311999,-4,6
2810.T,Spicy Seasonings and Processed Foods Business,"311942, 311941",-4,6
2810.T,Other Food Related Businesses,"484121, 311991",-4,6
2810.T,Overseas Business,"311942, 311941",-4,6
2810.T,Eating out business,722511,-4,6
4088.T,Eliminations and Corporate,,-4,9
4088.T,Energy-Related Businesses,211130,-4,9
4088.T,Medical Business,"339112, 334510, 238990",-4,9
4088.T,Chemical-Related Businesses,"325180, 325199",-4,9
4088.T,Industrial Gas-Related Business,"333248, 325120",-4,9
4088.T,Agri-food businesses,"312111, 311991, 311612, 311412",-4,9
4088.T,Others (New),"221117, 493190",-4,9
4088.T,Logistics Business,484230,-4,9
4088.T,Seawater business,"325180, 334510, 311942",-4,9
6652.T,Operating segment-Northern America,"541511, 335314, 335313, 334419",-4,5
6652.T,Operating segment-Asia Pacific,"541511, 335314, 335313, 334419",-4,5
6652.T,Elimination,,-4,5
6652.T,Operating segment-Japan,"541511, 335314, 335313, 334419",-4,5
6652.T,Operating segment - EMEA,"335314, 335313, 334419",-4,5
4028.T,Eliminations and Corporate,,-4,4
4028.T,Inorganic Chemicals Business,325180,-4,4
4028.T,Other Businesses,424690,-4,4
4028.T,Organic Chemistry Business,"325412, 325320",-4,4
8001.T,Eliminations and Corporate,,-4,9
8001.T,Chemicals & Energy,"424720, 424690, 423690, 423610",-4,9
8001.T,Textile,"424350, 424340, 424310",-4,9
8001.T,Machinery & Energy,"424720, 423830, 423110, 336611",-4,9
8001.T,Food,"424510, 424460, 424420, 311211",-4,9
8001.T,Metal,"212114, 562920, 423390, 212210",-4,9
8001.T,Life company,"322120, 531110, 424130, 236117",-4,9
8001.T,Information'Fanancial company,"449210, 541512, 524210, 517410",-4,9
8001.T,The Eighth(New Business),445110,-4,9
8088.T,Eliminations and Corporate,,-4,6
8088.T,Others,"561499, 524113, 522220, 482112",-4,6
8088.T,Natural Industry,"333241, 424420, 333111, 311411",-4,6
8088.T,Materials,"331110, 423510, 334413, 325211",-4,6
8088.T,General Energy Business,"335220, 424710, 333132, 324110",-4,6
8088.T,Industry Gases,"333242, 333248, 333912, 325120",-4,6
8595.T,,,-4,0
1963.T,Eliminations and Corporate,,-4,4
1963.T,Fine Chemical and catalyst,325998,-4,4
1963.T,General engineering,"541330, 212321",-4,4
1963.T,Other,,-4,4
7942.T,Eliminations and Corporate,,-4,4
7942.T,Bead Business,,-4,4
7942.T,Extrusion Business,,-4,4
7942.T,Other,,-4,4
3863.T,"CivilEngineering,BuildingMaterial&TimberRelated","423390, 423310, 237990",-4,6
3863.T,Other Businesses,"713990, 484110",-4,6
3863.T,Eliminations and Corporate,,-4,6
3863.T,Life Related Business,"322120, 325520, 322211, 322130",-4,6
3863.T,Paper & Paper Board Business,"322120, 322130, 322110",-4,6
3863.T,Energy Business,221122,-4,6
8267.T,Eliminations and Corporate,,-4,9
8267.T,International(Asean&China),"456110, 445110, 424410",-4,9
8267.T,Developer,,-4,9
8267.T,Other,"722511, 445131, 551112",-4,9
8267.T,General Finance,"524210, 522210",-4,9
8267.T,GMS,"445110, 424410",-4,9
8267.T,Service and Specialty Store,458210,-4,9
8267.T,SM/DS,"455110, 445110",-4,9
8267.T,Health and Wellness,456110,-4,9
2811.T,Food Business,"312111, 311942, 311941",-4,6
2811.T,Other,531390,-4,6
2811.T,Eliminations and Corporate,,-4,6
2811.T,fresh vegetables,111219,-4,6
2811.T,International Business,"311999, 111219",-4,6
2811.T,Domestic elimination,,-4,6
1812.T,Construction Project,"237310, 236220, 236210",-4,6
1812.T,"Development Business, Etc.","541330, 541310",-4,6
1812.T,Eliminations and Corporate,,-4,6
1812.T,Domestic affiliates,"713910, 531312, 423390",-4,6
1812.T,Overseas affiliates,,-4,6
1812.T,Civil Engineering Projects,"541330, 237990, 237210",-4,6
2220.T,,,-4,0
1942.T,Construction Equipment Business,"513210, 423610, 238210, 237130",-4,3
1942.T,Eliminations and Corporate,,-4,3
1942.T,Other Businesses,"221118, 532120, 531120, 423610",-4,3
4118.T,Eliminations and Corporate,,-4,6
4118.T,Nutrition Solutions,"325312, 311225",-4,6
4118.T,Health Care Solutions,325411,-4,6
4118.T,Others,"524210, 311999, 311942, 311119",-4,6
4118.T,Qualiyt of Life Solutions,"325220, 334413, 325211",-4,6
4118.T,Material Solutions,"325180, 325998, 325199",-4,6
8020.T,Eliminations and Corporate,,-4,6
8020.T,Other,"531312, 524210, 488510, 423390",-4,6
8020.T,Food,"424910, 424520",-4,6
8020.T,Electronic/device,"423690, 423610, 334413",-4,6
8020.T,Vehicle and Aviation,"424990, 423690, 423110",-4,6
8020.T,Steel/material/plant,"424690, 424210, 423510",-4,6
4613.T,Eliminations,,-4,7
4613.T,operating segment-Japan,325510,-4,7
4613.T,operating segment-Asia,325510,-4,7
4613.T,Other,325510,-4,7
4613.T,operating segment-India,325510,-4,7
4613.T,operating segment-Africa,325510,-4,7
4613.T,operating segment-Europe,325510,-4,7
7012.T,Other Businesses,"541611, 336510, 333120, 332410",-4,8
7012.T,Eliminations and Corporate,,-4,8
7012.T,Vehicle Business,,-4,8
7012.T,Motorcycle & Engine business,,-4,8
7012.T,Shipbuilding & Ship and Sea,336611,-4,8
7012.T,Aerospace system business,"336412, 336411",-4,8
7012.T,Energe&plant environment,333120,-4,8
7012.T,Precision machinery & robot,333611,-4,8
8818.T,Leasing Land And Buildings,,-4,2
8818.T,Other Businesses,,-4,2
6861.T,,,-4,0
2801.T,Eliminations and Corporate,,-4,5
2801.T,Overseas Wholesale Grocery,424490,-4,5
2801.T,Manufacturing And Sales Of Domestic Food,"312130, 312111, 311941",-4,5
2801.T,Other domestic,,-4,5
2801.T,Manufacture And Sale Of Food Products Overseas,,-4,5
1944.T,,,-4,0
5406.T,Iron & Steel,"331110, 332111, 331315",-4,9
5406.T,Machinery Division,333248,-4,9
5406.T,Eliminations and Corporate,,-4,9
5406.T,Aluminum & Copper,"331420, 331318, 331315, 331314",-4,9
5406.T,Welding,333992,-4,9
5406.T,Others,331315,-4,9
5406.T,Kobelco Construction Machinery,333120,-4,9
5406.T,Engineering Division,236210,-4,9
5406.T,Kobelco Eco-Solutions,333248,-4,9
9161.T,Elimination & Corporate,,-4,9
9161.T,Eliminations and Corporate,,-4,9
9161.T,Domestic Consulting,541330,-4,9
9161.T,Overseas Consulting,541330,-4,9
9161.T,Real estate rental,"531312, 531120",-4,9
9161.T,Other,561499,-4,9
9161.T,Electric Business,"541330, 335311, 237130",-4,9
9161.T,City Room Business,236210,-4,9
9161.T,Energy Business,"541330, 236210",-4,9
1861.T,Elimination/Coporate,,-4,4
1861.T,construction business,"541330, 236220, 236210, 236116",-4,4
1861.T,Subsidiary,"541330, 524210, 333120",-4,4
1861.T,Civil Engineering,"541330, 237990, 237310",-4,4
4996.T,Eliminations and Corporate,,-4,4
4996.T,Chemicals,"325194, 325211",-4,4
4996.T,Other,"221118, 519290, 484110, 323111",-4,4
4996.T,pesticides and pesticides related,325320,-4,4
3405.T,Fiber Business,325220,-4,7
3405.T,Eliminations and Corporate,,-4,7
3405.T,Trading Business,"424690, 424610",-4,7
3405.T,Other,"721110, 713910, 561510, 493110",-4,7
3405.T,Isoprene,325212,-4,7
3405.T,Functional materials,"339114, 325998, 325211",-4,7
3405.T,Vinyl Acetate,"326113, 325211, 325199",-4,7
4023.T,Function Product Business,"325180, 335991, 325211, 325199",-4,6
4023.T,Resin Products Business,"326112, 326111, 325211",-4,6
4023.T,Chemicals Business,"325180, 325412, 325320, 325199",-4,6
4023.T,Eliminations and Corporate,,-4,6
4023.T,Other Related Business,"562211, 531120, 493110",-4,6
4023.T,Construction-Related Business,"541330, 237990, 236220, 236116",-4,6
6370.T,Water Treatment Equipment Business,,-4,3
6370.T,Water Treatment Chemicals Business,,-4,3
6370.T,Eliminations and Corporate,,-4,3
5352.T,Eliminations and Corporate,,-4,6
5352.T,Other Businesses,,-4,6
5352.T,Real Estate Business,,-4,6
5352.T,Refractory Business,,-4,6
5352.T,Ceramic Business,,-4,6
5352.T,Furness Business,,-4,6
1301.T,Eliminations,,-4,7
1301.T,Other,524210,-4,7
1301.T,Katsuo / Maguro,"311710, 114112, 114111",-4,7
1301.T,Distribution Service,"493120, 483111",-4,7
1301.T,Normal Temperature Food,311710,-4,7
1301.T,Frozen Food,311710,-4,7
1301.T,Marine Products Trade,"311710, 424460",-4,7
1951.T,Engineering Business Solutions,237130,-4,6
1951.T,Kyowa Exeo Corporation,"541512, 238210, 237990, 237130",-4,6
1951.T,"NIPPON DENTSU CO., LTD.","541512, 238210, 237990, 237130",-4,6
1951.T,"Seibu Electric Industry Co., Ltd.","541512, 238210, 237990, 237130",-4,6
1951.T,"C-Cube Co., Ltd.","541512, 238210, 237990, 237130",-4,6
1951.T,Eliminations and Corporate,,-4,6
1959.T,Construction Equipment Business,,-4,3
1959.T,Other Businesses,,-4,3
1959.T,Eliminations and Corporate,,-4,3
8194.T,Retail Business,"458110, 455219, 445110",-4,3
8194.T,Other,"611710, 524210, 522210, 492210",-4,3
8194.T,Elimination,,-4,3
6592.T,Europe(Operating Seg.),"336390, 336310, 335312",-4,5
6592.T,America(Operating Seg.),"336390, 336310, 335312",-4,5
6592.T,Japan(Operating Seg.),"336390, 336310, 335312",-4,5
6592.T,Asia(Operating Seg.),"336390, 336310, 335312",-4,5
6592.T,Eliminations(Operating Seg.),,-4,5
8002.T,Foods,424490,-4,7
8002.T,Other,"522299, 423430, 221310",-4,7
8002.T,Transport Aircraft And Industrial Machinery,423830,-4,7
8002.T,Utility and Plant,"221310, 221112",-4,7
8002.T,Energy and Metal Resource,"424720, 423510",-4,7
8002.T,Life Industry,"424990, 424510, 424490, 423430",-4,7
8002.T,Material,424690,-4,7
8046.T,,,-4,0
5463.T,,,-4,0
4182.T,Eliminations and Corporate,,-4,6
4182.T,Aromatic Chemicals business,325110,-4,6
4182.T,Special functional materials business,325110,-4,6
4182.T,Natural Gas Chemicals,,-4,6
4182.T,Functional chemicals Business,"325180, 334412, 325211",-4,6
4182.T,Other Businesses,,-4,6
7003.T,Machinery,"333248, 336611",-4,6
7003.T,Other,"541511, 531120, 334290",-4,6
7003.T,Eliminations and Corporate,,-4,6
7003.T,Engineering,"541330, 237130, 236210, 221112",-4,6
7003.T,Ships,336611,-4,6
7003.T,Ocean Development,333248,-4,6
5706.T,Eliminations and Corporate,,-4,6
5706.T,Elimination,,-4,6
5706.T,Automotive Equipment Business,,-4,6
5706.T,Related Business,"332999, 331492",-4,6
5706.T,Functional Materials,"423690, 334419",-4,6
5706.T,Metal,"331420, 212230, 562211, 331492",-4,6
4183.T,Other,"326113, 326112, 325510, 325199",-4,6
4183.T,Health Care,"339114, 313230",-4,6
4183.T,Eliminations and Corporate,,-4,6
4183.T,Food & Packing business,"326113, 325510, 325320",-4,6
4183.T,Mobility,"325211, 325199",-4,6
4183.T,Circuit Material,"325211, 325110",-4,6
2201.T,Wholesale Food And Restaurant,424450,-4,5
2201.T,Food Products,"311352, 311821, 311520, 311340",-4,5
2201.T,Real Estate And Services,"713910, 531390",-4,5
2201.T,Eliminations and Corporate,,-4,5
2201.T,Other,541715,-4,5
2264.T,Food Business,"312111, 311520, 311514, 311511",-4,3
2264.T,Other,"333248, 531120, 493110, 424910",-4,3
2264.T,Eliminations and Corporate,,-4,3
2217.T,dessert manufacture/sale,"311351, 445292, 311999, 311340",-4,2
2217.T,cafe/restaurant,"722515, 722511, 445292, 311999",-4,2
8012.T,Electronics,423690,-4,8
8012.T,Eliminations,,-4,8
8012.T,Eliminations and Corporate,,-4,8
8012.T,Other,"518210, 423830",-4,8
8012.T,Processing Materials,424950,-4,8
8012.T,Life Related,"424690, 424490, 424210, 423450",-4,8
8012.T,Function Material,"424950, 424690, 424610",-4,8
8012.T,Car Energy,424610,-4,8
5393.T,Industrial Products Business,325211,-4,6
5393.T,Eliminations and Corporate,,-4,6
5393.T,Building Materials Business,"327120, 333998, 423390, 238990",-4,6
5393.T,High-performance products,325211,-4,6
5393.T,Auto Parts Business,336390,-4,6
5393.T,Brand sales,"339991, 325211, 238990, 236210",-4,6
6996.T,,,-4,0
8091.T,,,-4,0
2871.T,Processed Food Business,"311710, 311991, 311615, 311611",-4,7
2871.T,Eliminations and Corporate,,-4,7
2871.T,Logistics,"541330, 493120",-4,7
2871.T,Real Estate,"812930, 531120",-4,7
2871.T,Other,312113,-4,7
2871.T,Marine Products Business,,-4,7
2871.T,Livestock Business,112320,-4,7
8174.T,Natural Gas,221210,-4,3
8174.T,LP Gas,"424720, 237120, 221210",-4,3
8174.T,Intercompany Eliminations,,-4,3
5302.T,Carbon-Related Business Products,335991,-4,4
5302.T,Eliminations and Corporate,,-4,4
5302.T,Other Businesses,"333998, 811310, 531120",-4,4
5302.T,Slilcon carbide product-related,335991,-4,4
4092.T,Functionality products,"325180, 335999, 325199",-4,6
4092.T,Eliminations and Corporate,,-4,6
4092.T,Other Businesses,424920,-4,6
4092.T,Chemicals,"325180, 325199",-4,6
4092.T,Rental business,"531390, 531312, 531120",-4,6
4092.T,air-conditioner related business,"335999, 238220",-4,6
6997.T,Other,"335999, 334419, 331315",-4,2
6997.T,Capacitor,334416,-4,2
6594.T,Other segment,"335999, 335312",-4,10
6594.T,Net (Nidec Thailand),335312,-4,10
6594.T,Ncs (Nidec Singapore),335312,-4,10
6594.T,Ncpl (Copal),335312,-4,10
6594.T,Ncj (Nidec),335312,-4,10
6594.T,Nidec Corporation (Hong Kong),335312,-4,10
6594.T,Nsnk (Nidec Sankyo),"335999, 335312",-4,10
6594.T,Nidec tecnom,335312,-4,10
6594.T,NIDEC MOTORS & ACTUATORS,335312,-4,10
6594.T,Nidec Motor,335220,-4,10
9072.T,Packing Business,561910,-4,6
9072.T,Other Businesses,"811111, 562111, 531190, 524210",-4,6
9072.T,Transportation Business,484110,-4,6
9072.T,Warehouse Business,493110,-4,6
9072.T,Eliminations and Corporate,,-4,6
9072.T,Business Test,561499,-4,6
2282.T,Eliminations and Corporate,,-4,5
2282.T,Affiliated Business Division,,-4,5
2282.T,Meat Division,"424470, 311611, 112210",-4,5
2282.T,Processing Division,"311615, 311612, 311514",-4,5
2282.T,Oversea business,"311710, 311615, 311612, 311611",-4,5
4403.T,Eliminations and Corporate,,-4,5
4403.T,Function Chemicals,"325998, 325613",-4,5
4403.T,Life Science,"325412, 311225",-4,5
4403.T,Other,"531120, 484110",-4,5
4403.T,Chemicals Business,,-4,5
4612.T,Japan,"551112, 325998, 325613, 325510",-4,5
4612.T,Eliminations and Corporate,,-4,5
4612.T,Other,"325998, 325613, 325510",-4,5
4612.T,Americas,"325998, 325613, 325510",-4,5
4612.T,Asia,"325998, 325613, 325510",-4,5
4091.T,Eliminations and Corporate,,-4,6
4091.T,Domestic Gas Business,"333248, 333992, 325120",-4,6
4091.T,America Gas Business,"333248, 333992, 325120",-4,6
4091.T,Thermos Business,335220,-4,6
4091.T,Europe Gas Business,325120,-4,6
4091.T,Asia·Oceania Gas Business,325120,-4,6
4114.T,Eliminations and Corporate,,-4,4
4114.T,Basic Chemicals Business,325199,-4,4
4114.T,Environment And Business Catalyst,325199,-4,4
4114.T,Functional Chemicals Business,"325520, 325510, 325211, 325199",-4,4
1332.T,Eliminations and Corporate,,-4,6
1332.T,Other Businesses,"541330, 336611",-4,6
1332.T,Logistics Business,"541614, 493120, 484220",-4,6
1332.T,Marine Products Business,"311710, 114112, 114111",-4,6
1332.T,Fine Chemicals,"325412, 325411",-4,6
1332.T,Food Business,311412,-4,6
5480.T,,,-4,0
4205.T,Other Businesses,,-4,4
4205.T,Eliminations and Corporate,,-4,4
4205.T,Elastomer Material Business,"326299, 325212, 325199",-4,4
4205.T,Highly Functional Materials Bus.,"424690, 334510, 325211, 325199",-4,4
1820.T,Real Estate,"531390, 531110",-4,4
1820.T,Eliminations/Corporate,,-4,4
1820.T,Architecture,"237310, 237110, 236220",-4,4
1820.T,Engineering works,541330,-4,4
2002.T,Food Business,"311824, 325412, 311412",-4,4
2002.T,Other,"333241, 493110, 484110",-4,4
2002.T,Eliminations and Corporate,,-4,4
2002.T,Milling Business,311211,-4,4
2602.T,Eliminations and Corporate,,-4,5
2602.T,Fine Chemicals,"325620, 325199",-4,5
2602.T,Other,"713910, 561320, 531110, 524126",-4,5
2602.T,Oils and fats Processing Business,"311224, 311225",-4,5
2602.T,"Oils Fats,Oilseed and Processed Food Business",,-4,5
3105.T,,,-4,0
