Instrument,year,has ren segment,number of segments
EXC.OQ,-2,False,6
EXC.OQ,-2,False,6
EXC.OQ,-2,False,6
FGEN.PS,-2,False,8
FGEN.PS,-2,False,8
FGEN.PS,-2,True,8
FGEN.PS,-2,False,8
FGEN.PS,-2,False,8
FGEN.PS,-2,True,8
FGEN.PS,-2,False,8
FGEN.PS,-2,False,8
FORTUM.HE,-2,False,8
FORTUM.HE,-2,False,8
FORTUM.HE,-2,False,8
FORTUM.HE,-2,False,8
FORTUM.HE,-2,False,8
FORTUM.HE,-2,False,8
FORTUM.HE,-2,False,8
FORTUM.HE,-2,False,8
FTEK.OQ,-2,False,2
FTEK.OQ,-2,False,2
FTS.TO,-2,False,10
FTS.TO,-2,False,10
FTS.TO,-2,False,10
FTS.TO,-2,False,10
FTS.TO,-2,False,10
FTS.TO,-2,False,10
FTS.TO,-2,False,10
FTS.TO,-2,False,10
FTS.TO,-2,False,10
FTS.TO,-2,False,10
GEG.HM,-2,False,5
GEG.HM,-2,False,5
GEG.HM,-2,False,5
GEG.HM,-2,False,5
GEG.HM,-2,False,5
GPSC.BK,-2,False,3
GPSC.BK,-2,False,3
GPSC.BK,-2,False,3
HARL.L,-2,False,4
HARL.L,-2,False,4
HARL.L,-2,True,4
HARL.L,-2,False,4
HDG.HM,-2,False,5
HDG.HM,-2,False,5
HDG.HM,-2,False,5
HDG.HM,-2,False,5
HDG.HM,-2,True,5
HE.N,-2,False,3
HE.N,-2,False,3
HE.N,-2,False,3
HEGL.NS,-2,True,3
HEGL.NS,-2,False,3
HEGL.NS,-2,False,3
HOLMb.ST,-2,False,6
HOLMb.ST,-2,False,6
HOLMb.ST,-2,False,6
HOLMb.ST,-2,False,6
HOLMb.ST,-2,False,6
HOLMb.ST,-2,True,6
IBE.MC,-2,False,4
IBE.MC,-2,True,4
IBE.MC,-2,True,4
IBE.MC,-2,True,4
IDA.N,-2,False,3
IDA.N,-2,False,3
IDA.N,-2,False,3
IDC.HN,-2,False,0
LIGT3.SA,-2,False,5
LIGT3.SA,-2,False,5
LIGT3.SA,-2,False,5
LIGT3.SA,-2,False,5
LIGT3.SA,-2,False,5
MGEE.OQ,-2,False,4
MGEE.OQ,-2,False,4
MGEE.OQ,-2,False,4
MGEE.OQ,-2,False,4
MPLF.PSX,-2,False,3
MPLF.PSX,-2,False,3
MPLF.PSX,-2,False,3
NCLI.NS,-2,False,6
NCLI.NS,-2,True,6
NCLI.NS,-2,False,6
NCLI.NS,-2,False,6
NCLI.NS,-2,False,6
NCLI.NS,-2,False,6
NEOE3.SA,-2,False,0
NLCI.NS,-2,False,2
NLCI.NS,-2,False,2
NRG.N,-2,False,4
NRG.N,-2,False,4
NRG.N,-2,False,4
NRG.N,-2,False,4
NTPC.NS,-2,False,2
NTPC.NS,-2,False,2
ODAS.IS,-2,False,5
ODAS.IS,-2,False,5
ODAS.IS,-2,False,5
ODAS.IS,-2,False,5
ODAS.IS,-2,False,5
ORK.OL,-2,False,10
ORK.OL,-2,False,10
ORK.OL,-2,False,10
ORK.OL,-2,False,10
ORK.OL,-2,False,10
ORK.OL,-2,False,10
ORK.OL,-2,False,10
ORK.OL,-2,False,10
ORK.OL,-2,False,10
ORK.OL,-2,False,10
PAFO.NS,-2,False,7
PAFO.NS,-2,True,7
PAFO.NS,-2,False,7
PAFO.NS,-2,False,7
PAFO.NS,-2,False,7
PAFO.NS,-2,False,7
PAFO.NS,-2,False,7
PC1.HM,-2,False,6
PC1.HM,-2,True,6
PC1.HM,-2,False,6
PC1.HM,-2,False,6
PC1.HM,-2,False,6
PC1.HM,-2,False,6
PEG.N,-2,False,4
PEG.N,-2,False,4
PEG.N,-2,False,4
PEG.N,-2,False,4
PGRD.NS,-2,True,4
PGRD.NS,-2,False,4
PGRD.NS,-2,True,4
PGRD.NS,-2,False,4
PIF.TO,-2,True,3
PIF.TO,-2,False,3
PIF.TO,-2,True,3
PTCI.NS,-2,False,3
PTCI.NS,-2,True,3
PTCI.NS,-2,False,3
RATCH.BK,-2,False,4
RATCH.BK,-2,True,4
RATCH.BK,-2,False,4
RATCH.BK,-2,False,4
RITS.NS,-2,False,6
RITS.NS,-2,False,6
RITS.NS,-2,False,6
RITS.NS,-2,False,6
RITS.NS,-2,False,6
RITS.NS,-2,False,6
ROH2O.BX,-2,False,3
ROH2O.BX,-2,False,3
ROH2O.BX,-2,False,3
RWEG.DE,-2,False,7
RWEG.DE,-2,False,7
RWEG.DE,-2,False,7
RWEG.DE,-2,False,7
RWEG.DE,-2,True,7
RWEG.DE,-2,False,7
RWEG.DE,-2,False,7
SHEL.L,-2,False,5
SHEL.L,-2,False,5
SHEL.L,-2,False,5
SHEL.L,-2,False,5
SHEL.L,-2,False,5
SO.N,-2,False,6
SO.N,-2,False,6
SO.N,-2,False,6
SO.N,-2,False,6
SO.N,-2,True,6
SO.N,-2,False,6
SPI.OQ,-2,True,1
SRG.MI,-2,False,4
SRG.MI,-2,False,4
SRG.MI,-2,False,4
SRG.MI,-2,False,4
SSE.L,-2,False,10
SSE.L,-2,False,10
SSE.L,-2,False,10
SSE.L,-2,False,10
SSE.L,-2,False,10
SSE.L,-2,False,10
SSE.L,-2,False,10
SSE.L,-2,False,10
SSE.L,-2,False,10
SSE.L,-2,False,10
SVT.L,-2,False,4
SVT.L,-2,False,4
SVT.L,-2,False,4
SVT.L,-2,False,4
SXC.N,-2,False,5
SXC.N,-2,False,5
SXC.N,-2,False,5
SXC.N,-2,False,5
SXC.N,-2,False,5
TA.TO,-2,False,7
TA.TO,-2,True,7
TA.TO,-2,False,7
TA.TO,-2,False,7
TA.TO,-2,True,7
TA.TO,-2,False,7
TA.TO,-2,True,7
TCIL.NS,-2,False,6
TCIL.NS,-2,False,6
TCIL.NS,-2,False,6
TCIL.NS,-2,False,6
TCIL.NS,-2,False,6
TCIL.NS,-2,False,6
TTPW.NS,-2,True,5
TTPW.NS,-2,False,5
TTPW.NS,-2,False,5
TTPW.NS,-2,True,5
TTPW.NS,-2,False,5
UN01.DE,-2,False,4
UN01.DE,-2,False,4
UN01.DE,-2,False,4
UN01.DE,-2,False,4
UNACEMC1.LM,-2,False,5
UNACEMC1.LM,-2,False,5
UNACEMC1.LM,-2,False,5
UNACEMC1.LM,-2,True,5
UNACEMC1.LM,-2,False,5
VERB.VI,-2,False,6
VERB.VI,-2,False,6
VERB.VI,-2,False,6
VERB.VI,-2,False,6
VERB.VI,-2,False,6
VERB.VI,-2,True,6
XEL.OQ,-2,False,4
XEL.OQ,-2,False,4
XEL.OQ,-2,False,4
XEL.OQ,-2,False,4
