Instrument,year,has ren segment,number of segments
EONGn.DE,0,False,11
EONGn.DE,0,False,11
EONGn.DE,0,False,11
EONGn.DE,0,True,11
EONGn.DE,0,False,11
ETR.N,0,False,4
ETR.N,0,False,4
ETR.N,0,False,4
ETR.N,0,False,4
EXC.OQ,0,False,6
EXC.OQ,0,False,6
EXC.OQ,0,False,6
EXC.OQ,0,False,6
EXC.OQ,0,False,6
EXC.OQ,0,False,6
FGEN.PS,0,False,8
FGEN.PS,0,False,8
FGEN.PS,0,True,8
FGEN.PS,0,False,8
FGEN.PS,0,False,8
FGEN.PS,0,True,8
FGEN.PS,0,False,8
FGEN.PS,0,False,8
FORTUM.HE,0,False,4
FORTUM.HE,0,False,4
FORTUM.HE,0,False,4
FORTUM.HE,0,False,4
FTEK.OQ,0,False,2
FTEK.OQ,0,False,2
FTS.TO,0,False,10
FTS.TO,0,False,10
FTS.TO,0,False,10
FTS.TO,0,False,10
FTS.TO,0,False,10
FTS.TO,0,False,10
FTS.TO,0,False,10
FTS.TO,0,False,10
FTS.TO,0,False,10
FTS.TO,0,False,10
GEG.HM,0,False,5
GEG.HM,0,False,5
GEG.HM,0,False,5
GEG.HM,0,False,5
GEG.HM,0,False,5
GPSC.BK,0,False,3
GPSC.BK,0,False,3
GPSC.BK,0,False,3
HARL.L,0,False,5
HARL.L,0,True,5
HARL.L,0,False,5
HARL.L,0,False,5
HARL.L,0,False,5
HDG.HM,0,False,4
HDG.HM,0,False,4
HDG.HM,0,False,4
HDG.HM,0,True,4
HE.N,0,False,3
HE.N,0,False,3
HE.N,0,False,3
HEGL.NS,0,True,3
HEGL.NS,0,False,3
HEGL.NS,0,False,3
HOLMb.ST,0,False,7
HOLMb.ST,0,False,7
HOLMb.ST,0,False,7
HOLMb.ST,0,False,7
HOLMb.ST,0,False,7
HOLMb.ST,0,True,7
HOLMb.ST,0,False,7
IBE.MC,0,False,4
IBE.MC,0,True,4
IBE.MC,0,True,4
IBE.MC,0,True,4
IDA.N,0,False,3
IDA.N,0,False,3
IDA.N,0,False,3
IDC.HN,0,False,5
IDC.HN,0,False,5
IDC.HN,0,False,5
IDC.HN,0,True,5
IDC.HN,0,False,5
LIGT3.SA,0,False,5
LIGT3.SA,0,False,5
LIGT3.SA,0,False,5
LIGT3.SA,0,False,5
LIGT3.SA,0,False,5
MGEE.OQ,0,False,4
MGEE.OQ,0,False,4
MGEE.OQ,0,False,4
MGEE.OQ,0,False,4
MPLF.PSX,0,False,1
NCLI.NS,0,False,5
NCLI.NS,0,True,5
NCLI.NS,0,False,5
NCLI.NS,0,False,5
NCLI.NS,0,False,5
NEOE3.SA,0,False,0
NLCI.NS,0,False,2
NLCI.NS,0,False,2
NRG.N,0,False,5
NRG.N,0,False,5
NRG.N,0,False,5
NRG.N,0,False,5
NRG.N,0,False,5
NTPC.NS,0,False,4
NTPC.NS,0,False,4
NTPC.NS,0,False,4
NTPC.NS,0,False,4
ODAS.IS,0,False,4
ODAS.IS,0,False,4
ODAS.IS,0,False,4
ODAS.IS,0,False,4
ORK.OL,0,False,11
ORK.OL,0,False,11
ORK.OL,0,False,11
ORK.OL,0,False,11
ORK.OL,0,False,11
ORK.OL,0,False,11
ORK.OL,0,False,11
ORK.OL,0,False,11
ORK.OL,0,False,11
ORK.OL,0,False,11
ORK.OL,0,False,11
PAFO.NS,0,True,4
PAFO.NS,0,False,4
PAFO.NS,0,False,4
PAFO.NS,0,False,4
PC1.HM,0,False,8
PC1.HM,0,True,8
PC1.HM,0,False,8
PC1.HM,0,False,8
PC1.HM,0,False,8
PC1.HM,0,False,8
PC1.HM,0,False,8
PC1.HM,0,False,8
PEG.N,0,False,3
PEG.N,0,False,3
PEG.N,0,False,3
PGRD.NS,0,True,4
PGRD.NS,0,False,4
PGRD.NS,0,True,4
PGRD.NS,0,False,4
PIF.TO,0,True,4
PIF.TO,0,False,4
PIF.TO,0,True,4
PIF.TO,0,True,4
PTCI.NS,0,False,3
PTCI.NS,0,True,3
PTCI.NS,0,False,3
