Instrument,Segment Name,year
ETR.N,Entergy Wholsale commodoties,FY-7
ETR.N,Utility,FY-7
EXC.OQ,BGE,FY-7
EXC.OQ,ComEd,FY-7
EXC.OQ,Corporate/Other,FY-7
EXC.OQ,Generation,FY-7
EXC.OQ,PECO,FY-7
EXC.OQ,Intersegment Eliminations,FY-7
FGEN.PS,Elimination,FY-7
FGEN.PS,FGP,FY-7
FGEN.PS,FG Hydro,FY-7
FGEN.PS,FGPC,FY-7
FGEN.PS,Others,FY-7
FGEN.PS,EDC,FY-7
FORTUM.HE,Russia,FY-7
FORTUM.HE,Generation,FY-7
FORTUM.HE,Other Operations,FY-7
FORTUM.HE,Netting of Nord Pool Transactions,FY-7
FORTUM.HE,City Solutions,FY-7
FORTUM.HE,Elimination,FY-7
FTEK.OQ,Other,FY-7
FTEK.OQ,Air Pollution Control,FY-7
FTEK.OQ,Fuel Chem,FY-7
FTS.TO,Other Electric,FY-7
FTS.TO,Corporate and other,FY-7
FTS.TO,Non-Utility,FY-7
FTS.TO,Intersegment eliminations,FY-7
FTS.TO,Fortis Alberta,FY-7
FTS.TO,Electirc Caribbean,FY-7
FTS.TO,Energy infrastructure,FY-7
FTS.TO,FortisBC Energy,FY-7
FTS.TO,Fortis BC Electric,FY-7
FTS.TO,Central Hudson,FY-7
FTS.TO,UNS Energy,FY-7
GEG.HM,,FY-7
GPSC.BK,Others,FY-7
GPSC.BK,Independent Power,FY-7
GPSC.BK,Small Power,FY-7
HARL.L,,FY-7
HDG.HM,Eliminations,FY-7
HDG.HM,Others,FY-7
HDG.HM,Real Estate,FY-7
HDG.HM,Construction,FY-7
HE.N,Electric Utility,FY-7
HE.N,Other,FY-7
HE.N,Bank,FY-7
HEGL.NS,Power generation,FY-7
HEGL.NS,Graphite ( including other carbon products ),FY-7
HEGL.NS,Unallocable items/Others,FY-7
HOLMb.ST,FOREST,FY-7
HOLMb.ST,WOOD PRODUCTS,FY-7
HOLMb.ST,GROUP-WIDE AND OTHER,FY-7
HOLMb.ST,PAPER BOARD,FY-7
HOLMb.ST,PAPER,FY-7
HOLMb.ST,RENEWABLE ENERGY,FY-7
IBE.MC,Corporate and Adjustments,FY-7
IBE.MC,Other Business,FY-7
IBE.MC,Renewable Energy,FY-7
IBE.MC,Networks,FY-7
IBE.MC,Electricity Generation/Liberalized,FY-7
IDA.N,All Other,FY-7
IDA.N,Eliminations,FY-7
IDA.N,Utility Operations,FY-7
IDC.HN,,FY-7
LIGT3.SA,Eliminations,FY-7
LIGT3.SA,Other,FY-7
LIGT3.SA,Distribution,FY-7
LIGT3.SA,Generation,FY-7
LIGT3.SA,Commercialization,FY-7
LIGT3.SA,Services,FY-7
MGEE.OQ,Transmission Investment,FY-7
MGEE.OQ,All Others,FY-7
MGEE.OQ,Non Regulated Energy,FY-7
MGEE.OQ,Gas,FY-7
MGEE.OQ,Eliminations,FY-7
MGEE.OQ,Electric,FY-7
MPLF.PSX,,FY-7
NCLI.NS,,FY-7
NEOE3.SA,,FY-7
NLCI.NS,Lignite Mining,FY-7
NLCI.NS,Power Generation,FY-7
NRG.N,Corporate,FY-7
NRG.N,Elimination,FY-7
NRG.N,NRG Yeild,FY-7
NRG.N,Renewables,FY-7
NRG.N,Generation,FY-7
NRG.N,Retail,FY-7
NTPC.NS,Others,FY-7
NTPC.NS,Generation of energy,FY-7
ODAS.IS,,FY-7
ORK.OL,Financial Investments,FY-7
ORK.OL,Orkla Foods Ingredients,FY-7
ORK.OL,H.O./Unallocated/Eliminations,FY-7
ORK.OL,Orkla Confectionery & Snacks,FY-7
ORK.OL,Hydro Power,FY-7
ORK.OL,Orkla Care,FY-7
ORK.OL,Elimination,FY-7
ORK.OL,Orkla Foods,FY-7
PAFO.NS,Food Products,FY-7
PAFO.NS,Wind Turbine Power Generation,FY-7
PAFO.NS,Oil,FY-7
PAFO.NS,Vanaspati,FY-7
PAFO.NS,Others,FY-7
PAFO.NS,Extractions,FY-7
PC1.HM,,FY-7
PEG.N,Other,FY-7
PEG.N,PSE&G,FY-7
PEG.N,PSEG Power & Other,FY-7
PEG.N,Eliminations,FY-7
PGRD.NS,Consultancy Services,FY-7
PGRD.NS,Transmission Services,FY-7
PGRD.NS,Telecom Services,FY-7
PGRD.NS,Eliminations,FY-7
PIF.TO,,FY-7
PTCI.NS,Unallocated,FY-7
PTCI.NS,Power Trading,FY-7
PTCI.NS,Investments,FY-7
RATCH.BK,Domestic Electricity Generating,FY-7
RATCH.BK,Others,FY-7
RATCH.BK,Renewable Energy,FY-7
RATCH.BK,International Power Projects,FY-7
RITS.NS,,FY-7
ROH2O.BX,,FY-7
RWEG.DE,Trading/Gas Midstream,FY-7
RWEG.DE,Conventional Power Generation,FY-7
RWEG.DE,Other/Consolidation,FY-7
RWEG.DE,RWE Innogy,FY-7
SHEL.L,Corporate and Other,FY-7
SHEL.L,Upstream,FY-7
SHEL.L,Downstream,FY-7
SHEL.L,Integrated Gas,FY-7
SHEL.L,Corporate and Other,FY-7
SHEL.L,Upstream,FY-7
SHEL.L,Downstream,FY-7
SO.N,Reconciling Eliminations,FY-7
SO.N,All Other,FY-7
SO.N,Eliminations,FY-7
SO.N,Traditional Electric Operating Companies,FY-7
SO.N,Southern Power,FY-7
SPI.OQ,,FY-7
SRG.MI,Natural gas-Tansportation,FY-7
SRG.MI,Re-Gasification (Regulated),FY-7
SRG.MI,Storage of natural gas,FY-7
SRG.MI,Eliminations,FY-7
SRG.MI,Corporate,FY-7
SSE.L,Retail,FY-7
SSE.L,Corporate unallocated,FY-7
SSE.L,Networks,FY-7
SSE.L,Wholesale,FY-7
SVT.L,Business Services,FY-7
SVT.L,Regulated Water and Waste Water,FY-7
SXC.N,Domestic Coke,FY-7
SXC.N,Coal Mining,FY-7
SXC.N,Logistics,FY-7
SXC.N,Brazil Coke,FY-7
SXC.N,Elimination,FY-7
SXC.N,Logistics intersegment sales,FY-7
SXC.N,Coal Mining intersegment sales,FY-7
TA.TO,Corporate/Other,FY-7
TA.TO,Canadian Coal,FY-7
TA.TO,U.S. Coal,FY-7
TA.TO,Hydro,FY-7
TA.TO,Gas,FY-7
TA.TO,Energy Marketing,FY-7
TA.TO,Wind and solar,FY-7
TCIL.NS,Frieght Division,FY-7
TCIL.NS,Energy Division,FY-7
TCIL.NS,Supply Chain Solution Division,FY-7
TCIL.NS,Seaways Division,FY-7
TCIL.NS,Unallocated income/expenditure,FY-7
TCIL.NS,Inter Company Revenue,FY-7
