Instrument,Segment Name,Segment Code,year,Unnamed: 4,TR.F.BUSTOTREVBIZACTIV(SDATE=FY-5).segmentName,TR.F.BUSTOTREVBIZACTIV(SDATE=FY-5).segmentCode,number of segments
GIS.N,Europe & Australia,"311824, 311991, 311919, 311520",-5,,,,5.0
GIS.N,Asia & Latin America,"311824, 311991, 311919, 311520",-5,,,,5.0
GIS.N,Pet,311111,-5,,,,5.0
NVRI.N,Corporate,,-5,,,,4.0
NVRI.N,Harsco Rail,"811310, 488210",-5,,,,4.0
NVRI.N,Harsco Environmental,"541614, 332312, 327910",-5,,,,4.0
NVRI.N,Harsco Clean Earth,"562219, 562211",-5,,,,4.0
HCSG.OQ,Corporate Eliminations,,-5,,,,3.0
HCSG.OQ,Dietary,"722511, 722310",-5,,,,3.0
HCSG.OQ,Housekeeping,"812320, 561720",-5,,,,3.0
HTLD.OQ,,,-5,,,,0.0
HSY.N,International and Other,311351,-5,,,,2.0
HSY.N,North America,"311351, 311919, 311340",-5,,,,2.0
DINO.N,"Corporate, Other and Eliminations",,-5,,,,4.0
DINO.N,HEP,"486110, 424710, 324121, 324110",-5,,,,4.0
DINO.N,Refining,"486110, 424720, 324121, 324110",-5,,,,4.0
DINO.N,Lubricants and Specialty Products,"486110, 424720, 424710, 324110",-5,,,,4.0
HRL.N,Refrigerated Foods,"311615, 311612, 112111",-5,,,,5.0
HRL.N,Jennie-O Turkey Store,"456191, 311999, 311615, 311612",-5,,,,5.0
HRL.N,Grocery Products,"722310, 424490, 311615, 311611",-5,,,,5.0
HRL.N,All Other,,-5,,,,5.0
HRL.N,Specialty Foods,"311615, 311612, 311611",-5,,,,5.0
HUBB.N,Electrical Segment,"423610, 335931, 332919, 238210",-5,,,,2.0
HUBB.N,Utility Segment,"457210, 492110, 335929",-5,,,,2.0
JBHT.OQ,Intersegment Eliminations,,-5,,,,5.0
JBHT.OQ,Integrated Capacity Solutions (ICS),"541614, 484122, 484121",-5,,,,5.0
JBHT.OQ,Dedicated Contract Services® (DCS),"541420, 484122, 484121, 237310",-5,,,,5.0
