Instrument,Segment Name,Segment Code,year,Unnamed: 4,TR.F.BUSTOTREVBIZACTIV(SDATE=FY0).segmentName,TR.F.BUSTOTREVBIZACTIV(SDATE=FY0).segmentCode,number of segments
600098.SS,Coal,221112,0,,,,6.0
600098.SS,Wind and photovoltaic power generation business,"221118, 221115, 221114",0,,,,6.0
600098.SS,Others,522220,0,,,,6.0
600098.SS,Gas business,"221118, 221210",0,,,,6.0
029460.KS,Other Segment,333242,0,,,,5.0
029460.KS,Intercompany Eliminations,,0,,,,5.0
029460.KS,Construction,541330,0,,,,5.0
029460.KS,Utility,333242,0,,,,5.0
029460.KS,Display Equipment Division,"333248, 541330",0,,,,5.0
017890.KQ,Manufacturing,"325199, 325193",0,,,,2.0
017890.KQ,Other Segment,531120,0,,,,2.0
009540.KS,Marine,236210,0,,,,6.0
009540.KS,New Other,,0,,,,6.0
009540.KS,Ship Building,"551112, 336611",0,,,,6.0
009540.KS,Green Energy,"541715, 334413",0,,,,6.0
009540.KS,Consolidation Adjustment,,0,,,,6.0
009540.KS,Engine,333618,0,,,,6.0
9037.T,Eliminations and Corporate,,0,,,,3.0
9037.T,Business Logistics Center,484121,0,,,,3.0
9037.T,Lorry Transport Business,"484121, 484110",0,,,,3.0
018670.KS,Gas Business,424720,0,,,,2.0
018670.KS,Eliminations,,0,,,,2.0
600128.SS,Export Trade,"424350, 425120, 424990, 423940",0,,,,4.0
600128.SS,Construction,"541330, 236220, 236210",0,,,,4.0
600128.SS,Domestic Trade,"424690, 423520",0,,,,4.0
600128.SS,Other Sales,423450,0,,,,4.0
000069.SZ,Tourism Service Revenue,"721110, 713990, 713110, 561510",0,,,,3.0
000069.SZ,Real Estate,"236220, 236117",0,,,,3.0
000069.SZ,Other Operations,,0,,,,3.0
000789.SZ,Cement Clinker,327310,0,,,,5.0
000789.SZ,Others,"423320, 327310",0,,,,5.0
000789.SZ,Inter-segment offset,,0,,,,5.0
000789.SZ,New Building Materials,423320,0,,,,5.0
000789.SZ,Commercial Division,423320,0,,,,5.0
1220.HK,Trading of aluminium products,423510,0,,,,3.0
1220.HK,Construction Projects,"331318, 541330",0,,,,3.0
1220.HK,Money lending,522291,0,,,,3.0
600111.SS,Eliminations,,0,,,,5.0
600111.SS,Production,"325180, 212290",0,,,,5.0
600111.SS,Trade,423520,0,,,,5.0
600111.SS,Environmental Protection Industry Business Division,562910,0,,,,5.0
600111.SS,Rare earth functional materials and application products segment,"325180, 212290",0,,,,5.0
600110.SS,Electric Information Materials,"331420, 335929",0,,,,4.0
600110.SS,Wire & Cable,335929,0,,,,4.0
600110.SS,Trading,425120,0,,,,4.0
600110.SS,Other Operations,,0,,,,4.0
600585.SS,Cement Industry,327310,0,,,,3.0
600585.SS,Eliminations,,0,,,,3.0
600585.SS,Solid and critical waste disposal,562211,0,,,,3.0
1762.T,Civil Engineering Projects,"237990, 237310",0,,,,4.0
1762.T,Real Estate Business,531210,0,,,,4.0
1762.T,Eliminations and Corporate,,0,,,,4.0
1762.T,Construction Business,236220,0,,,,4.0
2616.TW,Gasoline Station,"457120, 457110",0,,,,4.0
2616.TW,Transportation,"484230, 484110",0,,,,4.0
2616.TW,Others,"811111, 493110, 441110",0,,,,4.0
2616.TW,Elimination,,0,,,,4.0
1125.HK,Property Development,"561790, 236117",0,,,,4.0
1125.HK,Property Investment,"551112, 531120, 531110",0,,,,4.0
1125.HK,Theme park operation,713110,0,,,,4.0
1125.HK,Hotel and serviced apartment,721110,0,,,,4.0
033500.KQ,Cryopreservation,"326140, 325211",0,,,,2.0
033500.KQ,Gas Business,"325998, 325120",0,,,,2.0
000803.SZ,Other,,0,,,,6.0
000803.SZ,Heating Industry,221330,0,,,,6.0
000803.SZ,Environmental Industries,562219,0,,,,6.0
000803.SZ,Energy saving and environmental protection equipment and supporting projects ,423830,0,,,,6.0
000803.SZ,Industrial Grade Blended Oil Processing and Sales,311225,0,,,,6.0
000803.SZ,Landfill gas treatment,562211,0,,,,6.0
000876.SZ,Feed,311119,0,,,,6.0
000876.SZ,Trading,"424910, 424470",0,,,,6.0
000876.SZ,Meat,"311615, 311612, 311611",0,,,,6.0
000876.SZ,Bird Cultivation,"311615, 112320",0,,,,6.0
000876.SZ,Food,"311999, 311612, 311611",0,,,,6.0
000876.SZ,Other business,311999,0,,,,6.0
1722.TW,Fertilizer Chemical Industry,325311,0,,,,4.0
1722.TW,Properties,"531390, 236117",0,,,,4.0
1722.TW,Others,325620,0,,,,4.0
1722.TW,Eliminations,,0,,,,4.0
600188.SS,Railway Transportation,"482112, 482111",0,,,,9.0
600188.SS,Electricity and heat supply,"325199, 221330, 221112",0,,,,9.0
600188.SS,Coal,"212115, 212114",0,,,,9.0
600188.SS,Unallocated,,0,,,,9.0
600188.SS,Railway Transportation Service,482111,0,,,,9.0
600188.SS,Intercompany Elimination,,0,,,,9.0
600188.SS,Non Coal Trading,423830,0,,,,9.0
600188.SS,Mining equipment manufacturing,"212115, 212114",0,,,,9.0
600188.SS,Loan and Financial Leasing,522220,0,,,,9.0
000807.SZ,Other Operation,,0,,,,4.0
000807.SZ,Eliminations,,0,,,,4.0
000807.SZ,Alumina Plate,"331315, 331314",0,,,,4.0
000807.SZ,Original Aluminum Piece,331313,0,,,,4.0
9926.TW,Gas Sales,221210,0,,,,4.0
9926.TW,Telecommunication,517810,0,,,,4.0
9926.TW,Other,"561320, 541990, 523910",0,,,,4.0
9926.TW,Installation,"541990, 238220",0,,,,4.0
006650.KS,Petrochemical Segment,"325211, 325110, 221112",0,,,,2.0
006650.KS,Industrial Gas Segment,"531120, 325120",0,,,,2.0
002990.KS,Construction Segment,"237990, 237310, 236220, 236210",0,,,,1.0
1617.TW,Other Segment,"523910, 334419, 334416",0,,,,3.0
1617.TW,Eliminations,,0,,,,3.0
1617.TW,Electric Wire,331420,0,,,,3.0
1725.TW,,,0,,,,0.0
000120.KS,,,0,,,,0.0
600125.SS,,,0,,,,0.0
600150.SS,,,0,,,,0.0
0754.HK,,,0,,,,0.0
000811.SZ,,,0,,,,0.0
000878.SZ,,,0,,,,0.0
000065.SZ,,,0,,,,0.0
600153.SS,,,0,,,,0.0
1618.TW,,,0,,,,0.0
600170.SS,,,0,,,,0.0
600160.SS,,,0,,,,0.0
2546.TW,,,0,,,,0.0
000820.SZ,,,0,,,,0.0
8871.T,,,0,,,,0.0
000830.SZ,,,0,,,,0.0
600186.SS,,,0,,,,0.0
000301.SZ,,,0,,,,0.0
2375.TW,,,0,,,,0.0
000881.SZ,,,0,,,,0.0
000831.SZ,,,0,,,,0.0
2421.TW,,,0,,,,0.0
0166.HK,,,0,,,,0.0
2413.TW,,,0,,,,0.0
6328.T,,,0,,,,0.0
9958.TW,,,0,,,,0.0
1723.TW,,,0,,,,0.0
000895.SZ,,,0,,,,0.0
002380.KS,,,0,,,,0.0
2030.TW,,,0,,,,0.0
600123.SS,,,0,,,,0.0
000893.SZ,,,0,,,,0.0
000877.SZ,,,0,,,,0.0
5371.TWO,,,0,,,,0.0
600167.SS,,,0,,,,0.0
600266.SS,,,0,,,,0.0
000928.SZ,,,0,,,,0.0
600007.SS,,,0,,,,0.0
600206.SS,,,0,,,,0.0
000885.SZ,,,0,,,,0.0
000902.SZ,,,0,,,,0.0
000897.SZ,,,0,,,,0.0
1224.HK,,,0,,,,0.0
2542.TW,,,0,,,,0.0
6505.TW,,,0,,,,0.0
600193.SS,,,0,,,,0.0
000911.SZ,,,0,,,,0.0
2433.TW,,,0,,,,0.0
600141.SS,,,0,,,,0.0
600027.SS,,,0,,,,0.0
000906.SZ,,,0,,,,0.0
000923.SZ,,,0,,,,0.0
000090.SZ,,,0,,,,0.0
000932.SZ,,,0,,,,0.0
006840.KS,,,0,,,,0.0
000933.SZ,,,0,,,,0.0
000937.SZ,,,0,,,,0.0
0855.HK,,,0,,,,0.0
2034.TW,,,0,,,,0.0
000953.SZ,,,0,,,,0.0
037400.KQ,,,0,,,,0.0
600219.SS,,,0,,,,0.0
8009.HK,,,0,,,,0.0
600230.SS,,,0,,,,0.0
000970.SZ,,,0,,,,0.0
600008.SS,,,0,,,,0.0
0436.HK,,,0,,,,0.0
600256.SS,,,0,,,,0.0
600259.SS,,,0,,,,0.0
000975.SZ,,,0,,,,0.0
4763.T,,,0,,,,0.0
600300.SS,,,0,,,,0.0
000990.SZ,,,0,,,,0.0
2548.TW,,,0,,,,0.0
2651.T,,,0,,,,0.0
600261.SS,,,0,,,,0.0
8095.HK,,,0,,,,0.0
000983.SZ,,,0,,,,0.0
2659.T,,,0,,,,0.0
600298.SS,,,0,,,,0.0
600293.SS,,,0,,,,0.0
5457.TWO,,,0,,,,0.0
000155.SZ,,,0,,,,0.0
600366.SS,,,0,,,,0.0
600281.SS,,,0,,,,0.0
049770.KS,,,0,,,,0.0
4825.T,,,0,,,,0.0
000998.SZ,,,0,,,,0.0
0698.HK,,,0,,,,0.0
600328.SS,,,0,,,,0.0
600323.SS,,,0,,,,0.0
600339.SS,,,0,,,,0.0
600399.SS,,,0,,,,0.0
600388.SS,,,0,,,,0.0
600309.SS,,,0,,,,0.0
600378.SS,,,0,,,,0.0
600389.SS,,,0,,,,0.0
042660.KS,,,0,,,,0.0
600305.SS,,,0,,,,0.0
600010.SS,,,0,,,,0.0
600376.SS,,,0,,,,0.0
047040.KS,,,0,,,,0.0
047050.KS,,,0,,,,0.0
600383.SS,,,0,,,,0.0
2688.HK,,,0,,,,0.0
1083.HK,,,0,,,,0.0
051910.KS,,,0,,,,0.0
4368.T,,,0,,,,0.0
600528.SS,,,0,,,,0.0
600395.SS,,,0,,,,0.0
600419.SS,,,0,,,,0.0
600530.SS,,,0,,,,0.0
4290.T,,,0,,,,0.0
031440.KS,,,0,,,,0.0
600346.SS,,,0,,,,0.0
021320.KQ,,,0,,,,0.0
600596.SS,,,0,,,,0.0
0818.HK,,,0,,,,0.0
003670.KS,,,0,,,,0.0
6121.TWO,,,0,,,,0.0
2935.T,,,0,,,,0.0
600361.SS,,,0,,,,0.0
2119.HK,,,0,,,,0.0
8117.HK,,,0,,,,0.0
600567.SS,,,0,,,,0.0
8935.TWO,,,0,,,,0.0
600583.SS,,,0,,,,0.0
5726.T,,,0,,,,0.0
5903.TWO,,,0,,,,0.0
600509.SS,,,0,,,,0.0
2613.T,,,0,,,,0.0
5534.TW,,,0,,,,0.0
600598.SS,,,0,,,,0.0
600456.SS,,,0,,,,0.0
600486.SS,,,0,,,,0.0
054210.KQ,,,0,,,,0.0
600496.SS,,,0,,,,0.0
600580.SS,,,0,,,,0.0
060150.KQ,,,0,,,,0.0
600426.SS,,,0,,,,0.0
3090.TW,,,0,,,,0.0
0954.HK,,,0,,,,0.0
8905.T,,,0,,,,0.0
6223.TWO,,,0,,,,0.0
058610.KQ,,,0,,,,0.0
2742.T,,,0,,,,0.0
600515.SS,,,0,,,,0.0
600586.SS,,,0,,,,0.0
2325.T,,,0,,,,0.0
600597.SS,,,0,,,,0.0
600516.SS,,,0,,,,0.0
2331.T,,,0,,,,0.0
000875.SZ,,,0,,,,0.0
069260.KS,,,0,,,,0.0
2337.T,,,0,,,,0.0
SUWN.PK,,,0,,,,0.0
600549.SS,,,0,,,,0.0
600353.SS,,,0,,,,0.0
600563.SS,,,0,,,,0.0
2176.HK,,,0,,,,0.0
6279.TWO,,,0,,,,0.0
2302.HK,,,0,,,,0.0
066970.KQ,,,0,,,,0.0
5017.T,,,0,,,,0.0
600537.SS,,,0,,,,0.0
2326.HK,,,0,,,,0.0
2768.T,,,0,,,,0.0
600039.SS,,,0,,,,0.0
600502.SS,,,0,,,,0.0
600481.SS,,,0,,,,0.0
8103.TW,,,0,,,,0.0
600433.SS,,,0,,,,0.0
2317.HK,,,0,,,,0.0
600490.SS,,,0,,,,0.0
600475.SS,,,0,,,,0.0
600546.SS,,,0,,,,0.0
600348.SS,,,0,,,,0.0
1719.T,,,0,,,,0.0
1720.T,,,0,,,,0.0
1721.T,,,0,,,,0.0
600507.SS,,,0,,,,0.0
2375.T,,,0,,,,0.0
2819.T,,,0,,,,0.0
600477.SS,,,0,,,,0.0
2384.T,,,0,,,,0.0
2791.T,,,0,,,,0.0
002139.SZ,,,0,,,,0.0
1813.HK,,,0,,,,0.0
0658.HK,,,0,,,,0.0
096770.KS,,,0,,,,0.0
UAFC.SI,,,0,,,,0.0
7821.T,,,0,,,,0.0
002145.SZ,,,0,,,,0.0
0826.HK,,,0,,,,0.0
002149.SZ,,,0,,,,0.0
0817.HK,,,0,,,,0.0
097230.KS,,,0,,,,0.0
002170.SZ,,,0,,,,0.0
0123.HK,,,0,,,,0.0
600606.SS,,,0,,,,0.0
600651.SS,,,0,,,,0.0
0617.HK,,,0,,,,0.0
000005.SZ,,,0,,,,0.0
000012.SZ,,,0,,,,0.0
0371.HK,,,0,,,,0.0
600021.SS,,,0,,,,0.0
0632.HK,,,0,,,,0.0
9933.TW,,,0,,,,0.0
2915.T,,,0,,,,0.0
9948.T,,,0,,,,0.0
001430.KS,,,0,,,,0.0
0456.HK,,,0,,,,0.0
600688.SS,,,0,,,,0.0
011170.KS,,,0,,,,0.0
010130.KS,,,0,,,,0.0
005090.KS,,,0,,,,0.0
011810.KS,,,0,,,,0.0
014910.KS,,,0,,,,0.0
0563.HK,,,0,,,,0.0
2516.TW,,,0,,,,0.0
600673.SS,,,0,,,,0.0
600676.SS,,,0,,,,0.0
9956.T,,,0,,,,0.0
2511.TW,,,0,,,,0.0
0385.HK,,,0,,,,0.0
0059.HK,,,0,,,,0.0
600615.SS,,,0,,,,0.0
600644.SS,,,0,,,,0.0
600642.SS,,,0,,,,0.0
600663.SS,,,0,,,,0.0
600678.SS,,,0,,,,0.0
600608.SS,,,0,,,,0.0
600603.SS,,,0,,,,0.0
600641.SS,,,0,,,,0.0
000027.SZ,,,0,,,,0.0
600808.SS,,,0,,,,0.0
600692.SS,,,0,,,,0.0
600691.SS,,,0,,,,0.0
000541.SZ,,,0,,,,0.0
000553.SZ,,,0,,,,0.0
000040.SZ,,,0,,,,0.0
9908.TW,,,0,,,,0.0
2611.TW,,,0,,,,0.0
1712.TW,,,0,,,,0.0
2520.TW,,,0,,,,0.0
1456.TW,,,0,,,,0.0
0985.HK,,,0,,,,0.0
001340.KS,,,0,,,,0.0
010140.KS,,,0,,,,0.0
600827.SS,,,0,,,,0.0
6420.T,,,0,,,,0.0
1309.TW,,,0,,,,0.0
600848.SS,,,0,,,,0.0
9946.T,,,0,,,,0.0
1047.HK,,,0,,,,0.0
000567.SZ,,,0,,,,0.0
000036.SZ,,,0,,,,0.0
9974.T,,,0,,,,0.0
1118.HK,,,0,,,,0.0
600876.SS,,,0,,,,0.0
000573.SZ,,,0,,,,0.0
007310.KS,,,0,,,,0.0
014790.KS,,,0,,,,0.0
000546.SZ,,,0,,,,0.0
2222.T,,,0,,,,0.0
1193.HK,,,0,,,,0.0
600026.SS,,,0,,,,0.0
008420.KS,,,0,,,,0.0
6905.T,,,0,,,,0.0
600801.SS,,,0,,,,0.0
600872.SS,,,0,,,,0.0
600873.SS,,,0,,,,0.0
9058.T,,,0,,,,0.0
2527.TW,,,0,,,,0.0
000049.SZ,,,0,,,,0.0
600803.SS,,,0,,,,0.0
600820.SS,,,0,,,,0.0
600821.SS,,,0,,,,0.0
000543.SZ,,,0,,,,0.0
1516.TW,,,0,,,,0.0
1229.HK,,,0,,,,0.0
2918.T,,,0,,,,0.0
9793.T,,,0,,,,0.0
017960.KS,,,0,,,,0.0
9787.T,,,0,,,,0.0
9369.T,,,0,,,,0.0
017810.KS,,,0,,,,0.0
0384.HK,,,0,,,,0.0
7485.NG,,,0,,,,0.0
3052.TW,,,0,,,,0.0
600882.SS,,,0,,,,0.0
600884.SS,,,0,,,,0.0
2025.TW,,,0,,,,0.0
2534.TW,,,0,,,,0.0
000591.SZ,,,0,,,,0.0
600887.SS,,,0,,,,0.0
2024.TW,,,0,,,,0.0
600895.SS,,,0,,,,0.0
600705.SS,,,0,,,,0.0
1721.TW,,,0,,,,0.0
000598.SZ,,,0,,,,0.0
0363.HK,,,0,,,,0.0
600711.SS,,,0,,,,0.0
000600.SZ,,,0,,,,0.0
600714.SS,,,0,,,,0.0
000401.SZ,,,0,,,,0.0
600722.SS,,,0,,,,0.0
000402.SZ,,,0,,,,0.0
000408.SZ,,,0,,,,0.0
600719.SS,,,0,,,,0.0
600737.SS,,,0,,,,0.0
011930.KS,,,0,,,,0.0
7508.T,,,0,,,,0.0
600732.SS,,,0,,,,0.0
000603.SZ,,,0,,,,0.0
4968.T,,,0,,,,0.0
5019.T,,,0,,,,0.0
5440.T,,,0,,,,0.0
000601.SZ,,,0,,,,0.0
600744.SS,,,0,,,,0.0
600755.SS,,,0,,,,0.0
9039.T,,,0,,,,0.0
2027.TW,,,0,,,,0.0
000032.SZ,,,0,,,,0.0
600765.SS,,,0,,,,0.0
000633.SZ,,,0,,,,0.0
000630.SZ,,,0,,,,0.0
000632.SZ,,,0,,,,0.0
000656.SZ,,,0,,,,0.0
000636.SZ,,,0,,,,0.0
000657.SZ,,,0,,,,0.0
2359.TW,,,0,,,,0.0
1166.HK,,,0,,,,0.0
000672.SZ,,,0,,,,0.0
2360.TW,,,0,,,,0.0
028050.KS,,,0,,,,0.0
5009.TWO,,,0,,,,0.0
0675.HK,,,0,,,,0.0
600785.SS,,,0,,,,0.0
000681.SZ,,,0,,,,0.0
000060.SZ,,,0,,,,0.0
000690.SZ,,,0,,,,0.0
000059.SZ,,,0,,,,0.0
000683.SZ,,,0,,,,0.0
600793.SS,,,0,,,,0.0
000692.SZ,,,0,,,,0.0
000691.SZ,,,0,,,,0.0
0604.HK,,,0,,,,0.0
3355.T,,,0,,,,0.0
000708.SZ,,,0,,,,0.0
000703.SZ,,,0,,,,0.0
2031.TW,,,0,,,,0.0
600796.SS,,,0,,,,0.0
600051.SS,,,0,,,,0.0
600052.SS,,,0,,,,0.0
000709.SZ,,,0,,,,0.0
000736.SZ,,,0,,,,0.0
600064.SS,,,0,,,,0.0
000723.SZ,,,0,,,,0.0
1616.TW,,,0,,,,0.0
000759.SZ,,,0,,,,0.0
000722.SZ,,,0,,,,0.0
000488.SZ,,,0,,,,0.0
600063.SS,,,0,,,,0.0
600072.SS,,,0,,,,0.0
600083.SS,,,0,,,,0.0
000778.SZ,,,0,,,,0.0
000498.SZ,,,0,,,,0.0
034730.KS,,,0,,,,0.0
053690.KS,,,0,,,,0.0
HOLI.OQ,,,0,,,,0.0
3800.HK,,,0,,,,0.0
097950.KS,,,0,,,,0.0
3377.HK,,,0,,,,0.0
3833.HK,,,0,,,,0.0
002182.SZ,,,0,,,,0.0
002183.SZ,,,0,,,,0.0
002192.SZ,,,0,,,,0.0
3254.T,,,0,,,,0.0
002201.SZ,,,0,,,,0.0
1414.T,,,0,,,,0.0
002202.SZ,,,0,,,,0.0
0505.HK,,,0,,,,0.0
002203.SZ,,,0,,,,0.0
002206.SZ,,,0,,,,0.0
002216.SZ,,,0,,,,0.0
002221.SZ,,,0,,,,0.0
0151.HK,,,0,,,,0.0
0098.HK,,,0,,,,0.0
601958.SS,,,0,,,,0.0
3617.TW,,,0,,,,0.0
002233.SZ,,,0,,,,0.0
0743.HK,,,0,,,,0.0
002244.SZ,,,0,,,,0.0
002245.SZ,,,0,,,,0.0
002250.SZ,,,0,,,,0.0
002251.SZ,,,0,,,,0.0
002258.SZ,,,0,,,,0.0
002266.SZ,,,0,,,,0.0
002268.SZ,,,0,,,,0.0
103140.KS,Ammunition,332993,0,,,,4.0
103140.KS,Cuprumalloy,331410,0,,,,4.0
103140.KS,Common Department,,0,,,,4.0
103140.KS,Intercompany Eliminations,,0,,,,4.0
100090.KS,Steel Pipes,331210,0,,,,3.0
100090.KS,Ship,"336611, 332999, 236220",0,,,,3.0
100090.KS,Consolidated Adjustment,,0,,,,3.0
103590.KS,Electricity System,335311,0,,,,4.0
103590.KS,Other Segments,531120,0,,,,4.0
103590.KS,Electrical Wires,331420,0,,,,4.0
103590.KS,Intersegment adjustment,,0,,,,4.0
002271.SZ,Other Income,324122,0,,,,4.0
002271.SZ,Waterproofing Engineering Works,238390,0,,,,4.0
002271.SZ,Sales of Materials,324122,0,,,,4.0
002271.SZ,Sale of Waterproof Materials,324122,0,,,,4.0
6803.TWO,Environment Resource Department,"221118, 562219, 562213, 541620",0,,,,1.0
104700.KS,"Manufacture, processing and marketing of steel products.",,0,,,,1.0
3143.T,Eliminations and Corporate,,0,,,,3.0
3143.T,Manufacture And Sale Of Business,,0,,,,3.0
3143.T,Wholesale Business,,0,,,,3.0
8923.T,Real Estate Development Business,"531120, 531110, 236117",0,,,,7.0
8923.T,Liquidation Of The Real Estate Business,"531120, 531110",0,,,,7.0
8923.T,Real Estate Leasing Business,"531120, 531110",0,,,,7.0
8923.T,Real Estate Fund Business,"523940, 531320, 531312",0,,,,7.0
8923.T,Eliminations and Corporate,,0,,,,7.0
8923.T,Real Estate Management Business,"531312, 531311",0,,,,7.0
8923.T,Hotel Business,"721110, 531312, 531311",0,,,,7.0
600325.SS,Real Estate Development,"236220, 236117",0,,,,2.0
600325.SS,Other Service Industry,,0,,,,2.0
084010.KS,Freight,"493110, 484121",0,,,,3.0
084010.KS,Steel Manufacturing,331221,0,,,,3.0
084010.KS,Other Segments,531120,0,,,,3.0
600438.SS,Others,,0,,,,3.0
600438.SS,Photovoltaic,"221118, 334413",0,,,,3.0
600438.SS,Agriculture and Animal Husbandry,"311710, 311999, 311119, 112512",0,,,,3.0
0581.HK,Real Estate,236117,0,,,,2.0
0581.HK,Iron and steel,331110,0,,,,2.0
600284.SS,Environment Industry,562111,0,,,,7.0
600284.SS,Bridge and Tunnel Construction,"237990, 237310",0,,,,7.0
600284.SS,Asphalt concrete and related products,"324122, 324121",0,,,,7.0
600284.SS,Other,,0,,,,7.0
600284.SS,Property,"531312, 531311",0,,,,7.0
600284.SS,Factoring Business,522299,0,,,,7.0
600284.SS,Design Survey Consulting Business,541330,0,,,,7.0
6674.T,Others,"335139, 335910, 334517",0,,,,5.0
6674.T,Domestic automobile battery,335910,0,,,,5.0
6674.T,Lithium-ion battery,335910,0,,,,5.0
6674.T,Industrial battery power,"335910, 333310",0,,,,5.0
6674.T,Overseas automobile battery,335910,0,,,,5.0
046440.KQ,consolidated adjustment,,0,,,,5.0
046440.KQ,Education industry,611691,0,,,,5.0
046440.KQ,Electronic settlement,522320,0,,,,5.0
046440.KQ,Other education,"519290, 611710",0,,,,5.0
046440.KQ,IT,519290,0,,,,5.0
600969.SS,Water Supply,"221320, 221310",0,,,,3.0
600969.SS,Industrial Gas,325120,0,,,,3.0
600969.SS,Electric Power Distribution,"221122, 221111",0,,,,3.0
600497.SS,Nonferrous Metals Selection Smelting,"331410, 212230, 212290, 331492",0,,,,3.0
600497.SS,Other Operations,,0,,,,3.0
600497.SS,Nonferrous Metal Products Trade,423510,0,,,,3.0
1785.TWO,Other Company,"325180, 334413, 332999, 331492",0,,,,4.0
1785.TWO,Intersegment Elimination,,0,,,,4.0
1785.TWO,Taiwan Solar,"325180, 334413, 332999, 331492",0,,,,4.0
1785.TWO,Kunshan Solar,"325180, 334413, 332999, 331492",0,,,,4.0
600985.SS,Other Operation,,0,,,,5.0
600985.SS,Coal chemical industry,"325199, 324199",0,,,,5.0
600985.SS,Commodity Trade,423520,0,,,,5.0
600985.SS,Coal,"212115, 212114",0,,,,5.0
600985.SS,Eliminations,,0,,,,5.0
600963.SS,Other business,,0,,,,7.0
600963.SS,Forestry,113110,0,,,,7.0
600963.SS,Eliminations,,0,,,,7.0
600963.SS,Engineering Construction,237990,0,,,,7.0
600963.SS,Real Estate Industry,236117,0,,,,7.0
600963.SS,Chemical Industry,325998,0,,,,7.0
600963.SS,Paper Pulping Industry,"322220, 322120, 322130",0,,,,7.0
600483.SS,Power Industry,"221115, 221114, 221330, 221112",0,,,,3.0
600483.SS,Textile Industry,"313310, 313240, 313110, 313230",0,,,,3.0
600483.SS,Intercompany Eliminations,,0,,,,3.0
600461.SS,Water Supply,221310,0,,,,8.0
600461.SS,Sewage Treatment,221320,0,,,,8.0
600461.SS,Project income,"237990, 237120",0,,,,8.0
600461.SS,Other operations,,0,,,,8.0
600461.SS,Eliminations,,0,,,,8.0
600461.SS,Others,221118,0,,,,8.0
600461.SS,Energy,221210,0,,,,8.0
600461.SS,Solid waste disposal,"562211, 562111",0,,,,8.0
600966.SS,Trade,424130,0,,,,3.0
600966.SS,Eliminations,,0,,,,3.0
600966.SS,Manufacturing,"322120, 322130, 322110",0,,,,3.0
002001.SZ,Pharmaceutical Chemicals,"325180, 325411, 325211, 311942",0,,,,4.0
002001.SZ,Other Operation,,0,,,,4.0
002001.SZ,"Other, Main Operation",,0,,,,4.0
002001.SZ,Eliminations,,0,,,,4.0
2319.HK,Other Dairy Products,311514,0,,,,4.0
2319.HK,Liquid Milk,311511,0,,,,4.0
2319.HK,Ice Cream,311520,0,,,,4.0
2319.HK,Milk powder,311514,0,,,,4.0
600143.SS,Other Business,,0,,,,6.0
600143.SS,Modified Plastic,325211,0,,,,6.0
600143.SS,Tradeable Goods,424610,0,,,,6.0
600143.SS,Medical and health products,339113,0,,,,6.0
600143.SS,Green petrochemical products,"325211, 325199, 324110",0,,,,6.0
600143.SS,New material products,"335991, 325211",0,,,,6.0
600981.SS,Other,,0,,,,7.0
600981.SS,Exports,"424310, 423990",0,,,,7.0
600981.SS,Domestic Goods,"424510, 424310",0,,,,7.0
600981.SS,House Rent,531120,0,,,,7.0
600981.SS,Transportation,484121,0,,,,7.0
600981.SS,Import Business,423310,0,,,,7.0
600981.SS,Property sales,236117,0,,,,7.0
1116.HK,,,0,,,,0.0
8250.HK,Money Lending,"522299, 522291",0,,,,4.0
8250.HK,Coal mining and construction services,"237990, 213113",0,,,,4.0
8250.HK,Heating Supply,221330,0,,,,4.0
8250.HK,Trading of fresh produce products,424480,0,,,,4.0
600984.SS,Steel Structures,332312,0,,,,6.0
600984.SS,Construction Equipment Sales,333120,0,,,,6.0
600984.SS,Elimination,,0,,,,6.0
600984.SS,Machinery Lease,532412,0,,,,6.0
600984.SS,Pavement Project,333120,0,,,,6.0
600984.SS,Transport operation,333120,0,,,,6.0
002015.SZ,Power and heat production and supply,"221118, 562213, 221330, 221112",0,,,,1.0
002016.SZ,Real Estate,"236220, 236117",0,,,,2.0
002016.SZ,Other Business,,0,,,,2.0
600965.SS,Catering Industry,722511,0,,,,5.0
600965.SS,Livestock farming and food processing,"311991, 311611, 112111",0,,,,5.0
600965.SS,Intercompany Eliminations,,0,,,,5.0
600965.SS,Funeral Service,812210,0,,,,5.0
600965.SS,Agricultural Cooperatives,"562910, 424590, 111421",0,,,,5.0
002025.SZ,Other,,0,,,,2.0
002025.SZ,Electric Elements,"335314, 335312, 334417",0,,,,2.0
002028.SZ,Power Transmission and Distribution equipment,"335313, 335311, 334516, 334513",0,,,,1.0
014830.KS,Consolidated Adjustment,,0,,,,3.0
014830.KS,Potassium& Other Chemical Manufacturing,325199,0,,,,3.0
014830.KS,Chemical Manufacturing,325199,0,,,,3.0
078930.KS,Trade,"423840, 423120",0,,,,4.0
078930.KS,Investment and Other,"721110, 711211, 551112",0,,,,4.0
078930.KS,Gas Electricity,"211120, 221210, 221112",0,,,,4.0
078930.KS,General Household Goods,"445131, 445110",0,,,,4.0
8053.HK,Bulk Mineral Trade,423510,0,,,,3.0
8053.HK,Explosives Trading and Blasting Services,325920,0,,,,3.0
8053.HK,Mining operation,"212230, 212210",0,,,,3.0
002034.SZ,Project Operations,"562212, 562111, 541690, 541330",0,,,,1.0
8934.T,Real Estate Restoration Projects,"531120, 236220",0,,,,5.0
8934.T,Eliminations and Corporate,,0,,,,5.0
8934.T,Other,"236118, 236117",0,,,,5.0
