Instrument,Segment Name,Segment Code,year,Unnamed: 4,TR.F.BUSTOTREVBIZACTIV(SDATE=FY0).segmentName,TR.F.BUSTOTREVBIZACTIV(SDATE=FY0).segmentCode,number of segments
GCARSOA1.MX,Retail,455110,0,,,,6.0
GCARSOA1.MX,Other and Eliminations,,0,,,,6.0
GCARSOA1.MX,Construction,455110,0,,,,6.0
GCARSOA1.MX,Industrial,"333998, 335931, 335929, 237130",0,,,,6.0
GCARSOA1.MX,Carso Energy,"211120, 486110",0,,,,6.0
GCARSOA1.MX,Elementia,325220,0,,,,6.0
ITW.N,Food Equipment,"333241, 449210, 333310, 334515",0,,,,8.0
ITW.N,Polymers & Fluids,"336611, 325998, 325520, 325510",0,,,,8.0
ITW.N,Intersegment Revenues,,0,,,,8.0
ITW.N,Construction Products,"444180, 333998, 339993, 333120",0,,,,8.0
ITW.N,Specialty Products,"513130, 445298, 333993, 323111",0,,,,8.0
ITW.N,Automotive OEM,"336390, 336110, 332999, 326199",0,,,,8.0
ITW.N,Test & Measurement and Electronics,"513210, 334515, 334418, 325520",0,,,,8.0
ITW.N,Welding,"221118, 336611, 333992, 332999",0,,,,8.0
IFF.N,Scent,"325180, 456191, 561499, 325998",0,,,,4.0
IFF.N,Nourish,"325998, 311942",0,,,,4.0
IFF.N,Pharma Solutions,325199,0,,,,4.0
IFF.N,Health & Biosciences,"561499, 325199, 311942",0,,,,4.0
WKC.N,Land,"531390, 424720, 237210",0,,,,3.0
WKC.N,Aviation,"459999, 513210, 481111, 424720",0,,,,3.0
WKC.N,Marine,"541614, 488390, 424720",0,,,,3.0
EME.N,United States mechanical construction and facilities services,"811310, 238220, 238210, 221121",0,,,,6.0
EME.N,United Kingdom construction and facilities services,"811310, 238220, 238210, 236210",0,,,,6.0
EME.N,United States electrical construction and facilities services,"811310, 238220, 238210, 221121",0,,,,6.0
EME.N,Intersegment Revenue,,0,,,,6.0
EME.N,United States building services,"811310, 238220, 238210",0,,,,6.0
EME.N,United States industrial services,"811310, 541330, 238220, 221121",0,,,,6.0
J.N,,,0,,,,0.0
K.N,North America,"311919, 311821, 311412, 311230",0,,,,5.0
K.N,Latin America,"311919, 311230",0,,,,5.0
K.N,Europe,"311919, 311230",0,,,,5.0
K.N,Corporate and Other,,0,,,,5.0
K.N,AMEA,"311824, 311919, 311230",0,,,,5.0
KR.N,supermarkets and multi-department stores,,0,,,,1.0
SR.N,Eliminations,,0,,,,5.0
SR.N,Other,,0,,,,5.0
SR.N,Gas Marketing,221210,0,,,,5.0
SR.N,Gas Utility,221210,0,,,,5.0
SR.N,Midstream,486210,0,,,,5.0
MDU.N,Electric,221122,0,,,,6.0
MDU.N,Construction Materials and Contracting,211120,0,,,,6.0
MDU.N,Construction Services,"331420, 211120, 237130, 221210",0,,,,6.0
MDU.N,Other,,0,,,,6.0
MDU.N,Natural Gas Distribution,221210,0,,,,6.0
MDU.N,Pipeline and Midstream,"486210, 221210",0,,,,6.0
MRTN.OQ,Truckload,484121,0,,,,4.0
MRTN.OQ,Intermodal,"484230, 484122",0,,,,4.0
MRTN.OQ,Brokerage,484122,0,,,,4.0
MRTN.OQ,Dedicated,484122,0,,,,4.0
MKC.N,Consumer,"311942, 311941",0,,,,2.0
MKC.N,Flavor Solutions,311942,0,,,,2.0
MGRC.OQ,Enviroplex,532210,0,,,,4.0
MGRC.OQ,TRS-RenTelco,532210,0,,,,4.0
MGRC.OQ,Adler Tanks,532210,0,,,,4.0
MGRC.OQ,Mobile Modular,532210,0,,,,4.0
MRU.TO,,,0,,,,0.0
NI.N,Electric Operations,"221122, 221121, 221112",0,,,,4.0
NI.N,Gas Distribution Operations,221210,0,,,,4.0
NI.N,Adjustments / Eliminations,,0,,,,4.0
NI.N,Corporate and Other,,0,,,,4.0
NFG.N,Exploration and Production,"211130, 211120",0,,,,6.0
NFG.N,Pipeline and Storage,486210,0,,,,6.0
NFG.N,Utility,"221210, 213112",0,,,,6.0
NFG.N,Corporate and Intersegment Eliminations,,0,,,,6.0
NFG.N,All Other,,0,,,,6.0
NFG.N,Gathering,"211120, 486210, 213112",0,,,,6.0
NEN.A,OPERATORS OF APARTMENT BUILDINGS,,0,,,,1.0
NJR.N,Home Services and Other,"811412, 238220, 237210",0,,,,5.0
NJR.N,Energy Services,"541611, 221210",0,,,,5.0
NJR.N,Clean Energy Ventures,237130,0,,,,5.0
NJR.N,Natural Gas Distribution,221210,0,,,,5.0
NJR.N,Storage and Transportation segment,"486210, 221210",0,,,,5.0
AGR.N,Other,,0,,,,3.0
AGR.N,Networks,"221210, 221122",0,,,,3.0
AGR.N,Renewables,"221118, 221112",0,,,,3.0
NSC.N,,,0,,,,0.0
ES.N,Natural Gas Distribution,221210,0,,,,6.0
ES.N,Electric Distribution,221122,0,,,,6.0
ES.N,Other,,0,,,,6.0
ES.N,Eliminations,,0,,,,6.0
ES.N,Electric Transmission,221121,0,,,,6.0
ES.N,Water Distribution,221310,0,,,,6.0
NTRS.OQ,Corporate and Institutional Services,"523940, 523150, 523991, 522110",0,,,,4.0
NTRS.OQ,Wealth Management,"523940, 523150, 523991, 522110",0,,,,4.0
NTRS.OQ,Treasury and Other,,0,,,,4.0
NTRS.OQ,Unallocated,,0,,,,4.0
NWN.N,Other(NW Holdings),,0,,,,2.0
NWN.N,NW Natural,221210,0,,,,2.0
NWE.OQ,Gas Utility,"211120, 486210, 221210",0,,,,4.0
NWE.OQ,Eliminations,,0,,,,4.0
NWE.OQ,All Other,,0,,,,4.0
NWE.OQ,Electric Utility,"221118, 221122, 221121, 221112",0,,,,4.0
NUE.N,Raw Materials,"331110, 331492",0,,,,3.0
NUE.N,Steel Mills,331110,0,,,,3.0
NUE.N,Steel Products,"332322, 332312, 331222, 331210",0,,,,3.0
MX.TO,Methanol,,0,,,,1.0
OLN.N,Chlor Alkali Products and Vinyls,"325180, 325199, 325120",0,,,,3.0
OLN.N,Winchester,"332993, 332992",0,,,,3.0
OLN.N,Epoxy,"325211, 325199",0,,,,3.0
PPG.N,Performance Coatings,"561910, 325998, 325510",0,,,,2.0
PPG.N,Industrial Coatings,"325520, 325510",0,,,,2.0
PCG.N,sale and delivery of electricity and natural gas,,0,,,,1.0
PAAS.TO,La Colorada Silver segment:,212220,0,,,,13.0
