Firm Name,WACC,COE,COD,Segment Name,Segment Code,year,Unnamed: 4,TR.F.BUSTOTREVBIZACTIV(SDATE=FY0).segmentName,TR.F.BUSTOTREVBIZACTIV(SDATE=FY0).segmentCode,number of segments,TR.F.BUSTOTREVBIZACTIV(SDATE=FY-1).segmentName,TR.F.BUSTOTREVBIZACTIV(SDATE=FY-1).segmentCode,TR.F.BUSTOTREVBIZACTIV(SDATE=FY-2).segmentName,TR.F.BUSTOTREVBIZACTIV(SDATE=FY-2).segmentCode,TR.F.BUSTOTREVBIZACTIV(SDATE=FY-3).segmentName,TR.F.BUSTOTREVBIZACTIV(SDATE=FY-3).segmentCode,TR.F.BUSTOTREVBIZACTIV(SDATE=FY-5).segmentName,TR.F.BUSTOTREVBIZACTIV(SDATE=FY-5).segmentCode,Unnamed: 0,TR.F.BUSTOTREVBIZACTIV(SDATE=FY-6).segmentName,TR.F.BUSTOTREVBIZACTIV(SDATE=FY-6).segmentCode
ARCB.OQ,0.058571348971845,0.1217421875,0.0291017787569485,Other/Eliminations,,0,,,,4.0,,,,,,,,,,,
CMPC.SN,0.0857826777776631,0.1585,0.0422178035100703,Eliminations,,0,,,,5.0,,,,,,,,,,,
COPEC.SN,0.0746254871790877,0.153,0.034323268653959,Fishing Operations/Igemar,"311710, 114119",0,,,,6.0,,,,,,,,,,,
GGBR4.SA,0.0838443177263114,0.117375,0.0725595372279192,Unit Special Steel,"331513, 331512",0,,,,5.0,,,,,,,,,,,
VALE3.SA,0.0722124782295442,0.1596875,0.0501571421526799,Others,,0,,,,4.0,,,,,,,,,,,
WEGE3.SA,0.0192172372344198,0.0317187499999999,0.020051763548405,Energy,333611,0,,,,4.0,,,,,,,,,,,
PETR4.SA,0.3038794760344517,0.7870000000000006,0.0503979700365664,Corporate,211120,0,,,,5.0,,,,,,,,,,,
CS.TO,0.0588601209541715,0.113125,0.0100645895262211,Cozamin,212230,0,,,,6.0,,,,,,,,,,,
BIMBOA.MX,0.0403329293375459,0.0772499999999999,0.0622022208412133,Eliminations,,0,,,,5.0,,,,,,,,,,,
ORBIA.MX,0.0421807390743289,0.11225,0.0562685093780849,Parent Company,,0,,,,5.0,,,,,,,,,,,
CEMEXCPO.MX,0.0639846506934195,0.133,0.050227969943213,,,0,,,,0.0,,,,,,,,,,,
ALFAA.MX,0.0407812268018139,0.169,0.05038432519399,Auto Parts,325110,0,,,,4.0,,,,,,,,,,,
FEMSAUBD.MX,0.0357341660810967,0.0719374999999999,0.047344515791241,Consolidation adjustments,,0,,,,7.0,,,,,,,,,,,
WT.N,0.0455877210798021,0.116125,0.0464951932655907,Investment Advisory,,0,,,,1.0,,,,,,,,,,,
TKO.TO,0.0574488617786322,0.1205,0.0681091595452151,,,0,,,,0.0,,,,,,,,,,,
FVI.TO,0.0758227140403805,0.109375,0.0471933843614486,Cuzcatlan,"212220, 213114",0,,,,6.0,,,,,,,,,,,
NATR.OQ,0.0643977051114554,0.1021875,0.2120954003407155,Asia,"456199, 424210, 325411",0,,,,4.0,,,,,,,,,,,
COLBUN.SN,0.071698296284121,0.149,0.0359245362093917,Electricity Generation,"221112, 221111",0,,,,1.0,,,,,,,,,,,
ODFL.OQ,0.034609070647642,0.0455234374999999,0.0156357852405389,LTL Services,,0,,,,1.0,,,,,,,,,,,
MMS.N,0.05648066665654,0.0968203125,0.0673107769403508,U.S. Federal Services,"541611, 541511",0,,,,3.0,,,,,,,,,,,
AME.N,0.0362036126739183,0.0512265624999999,0.0348787236263876,Electromechanical,"339112, 334519, 334511",0,,,,2.0,,,,,,,,,,,
VLO.N,0.050747622442278,0.112421875,0.0483025354533734,Refining,"522299, 541613, 324110",0,,,,4.0,,,,,,,,,,,
UGPA3.SA,0.0759929587641338,0.13425,0.1231388103619391,Ultracargo,493190,0,,,,5.0,,,,,,,,,,,
BACHOCOB.MX,0.0637830439583492,0.0846249999999999,0.0505587831771208,Other,,0,,,,2.0,,,,,,,,,,,
CHRW.OQ,0.0276289563472678,0.0619960937499999,0.0481484066789745,North American Surface transportation,"488510, 484122",0,,,,3.0,,,,,,,,,,,
PPL.TO,0.0621967992459892,0.116734375,0.0412124266654197,Pipeline Division,"486210, 486110",0,,,,4.0,,,,,,,,,,,
CWST.OQ,0.0219246783689617,0.0296601562499999,0.0367333745241867,Eastern,562111,0,,,,3.0,,,,,,,,,,,
FE.N,0.0354422655396026,0.0875312499999999,0.0441027061974692,Reconciling Adjustments,,0,,,,4.0,,,,,,,,,,,
AMG.N,0.0540515979124032,0.12058203125,0.0451228651441644,Global active asset management,,0,,,,1.0,,,,,,,,,,,
INGR.N,0.0403604659378645,0.0736640624999999,0.0398711236407571,,,0,,,,0.0,,,,,,,,,,,
URI.N,0.044594248877052,0.105369140625,0.0391380826737027,Specialty ,"532490, 532412",0,,,,2.0,,,,,,,,,,,
AQN.TO,0.045043175755288,0.1155,0.0370837818923998,Corporate,,0,,,,3.0,,,,,,,,,,,
AEE.N,0.0323313543939953,0.0773203124999999,0.0321960914210003,Ameron Missouri,"221210, 221122, 221112",0,,,,6.0,,,,,,,,,,,
PWR.N,0.0282594381221035,0.0538867187499999,0.0333419393998863,Electric Power Infrastructure Solutions,238210,0,,,,3.0,,,,,,,,,,,
RBA.TO,0.048767474022832,0.0737187499999999,0.0911112965099713,Other,423830,0,,,,2.0,,,,,,,,,,,
FHI.N,0.0628861726674219,0.11353125,0.0318573224658425,Investment Management Business,,0,,,,1.0,,,,,,,,,,,
EGIE3.SA,0.0575245046106242,0.0925,0.1009114069798744,Gas transportation,,0,,,,5.0,,,,,,,,,,,
BTU.N,0.1351364309492408,0.1918125,0.4203115638106651,Corporate and Other,,0,,,,5.0,,,,,,,,,,,
SRE.N,0.0376810795584417,0.0815703124999999,0.0364466267851585,SoCalGas,221210,0,,,,6.0,,,,,,,,,,,
RSG.N,0.0258390577385992,0.0439941406249999,0.033566670909168,,,0,,,,0.0,,,,,,,,,,,
RAIL3.SA,0.060145014847429,0.0762499999999999,0.1000997924614642,Container Operations,482111,0,,,,3.0,,,,,,,,,,,
EPD.N,0.0663512955805485,0.125375,0.042339635978088,Crude Oil Pipelines & Services,486110,0,,,,5.0,,,,,,,,,,,
PAA.OQ,0.0688861744586261,0.2000625000000001,0.0479516931091641,Intersegment Adjustment,541614,0,,,,3.0,,,,,,,,,,,
ALA.TO,0.0473654113178656,0.12571875,0.0348519216861169,Corporate/Other,,0,,,,4.0,,,,,,,,,,,
TRPL4.SA,0.0611489266262369,0.117875,0.0098407400789725,,,0,,,,0.0,,,,,,,,,,,
CE.N,0.0348927557692484,0.1072734375,0.027270890849101,Engineered Materials,"325220, 325212, 325211",0,,,,4.0,,,,,,,,,,,
BLK.N,0.0317596794345308,0.0945185546875,0.0318605350165314,Asset management business,,0,,,,1.0,,,,,,,,,,,
NEE.N,0.0173531791483504,0.0576874999999999,0.008976385202007,Corp. and Other,,0,,,,3.0,,,,,,,,,,,
SAPR4.SA,0.2412637532620883,0.4230000000000002,0.0799557341553377,Water,221310,0,,,,3.0,,,,,,,,,,,
PX.N,0.0648447885691624,0.118125,0.0316992886419497,ELECTRIC SERVICES,,0,,,,1.0,,,,,,,,,,,
SPTN.OQ,0.0519465912557266,0.13321875,0.045257863183877,Retail,445110,0,,,,2.0,,,,,,,,,,,
NS.N,0.0430791957611417,0.0985,0.063377717050995,Fuels Marketing,"211120, 457210, 486110",0,,,,4.0,,,,,,,,,,,
GPN.N,0.097444270516642,0.1805,0.0307623234606924,Merchant Solutions,"513210, 522320",0,,,,4.0,,,,,,,,,,,
GDI.TO,0.0357778657269965,0.0805468749999999,0.0303002148778799,Janitorial Canada,"561790, 561720",0,,,,5.0,,,,,,,,,,,
GLNG.OQ,0.0731792599450878,0.118828125,0.0162159344299787,FLNG,"211120, 486210, 221210",0,,,,3.0,,,,,,,,,,,
XPO.N,0.0333595063762577,0.101015625,0.0533175355450237,North American LTL,"484122, 484121, 484110",0,,,,2.0,,,,,,,,,,,
CHE_u.TO,0.0421515550324351,0.0774374999999999,0.0592008841864988,EC,"325180, 424690, 322110, 236210",0,,,,2.0,,,,,,,,,,,
WCN.TO,0.0256779605306984,0.0397929687499999,0.0283223868229292,Intermodal and other,"562219, 562111",0,,,,9.0,,,,,,,,,,,
HEES.OQ,0.0375874173965036,0.11503125,0.0434697261390358,Used Equipment Sales,"532490, 423830",0,,,,6.0,,,,,,,,,,,
SAIA.OQ,0.0474434087944242,0.0646914062499999,0.0419720936213991,,,0,,,,0.0,,,,,,,,,,,
CMP.N,0.0369960718018951,0.0467656249999999,0.0689184154973301,,,0,,,,0.0,,,,,,,,,,,
KEY.TO,0.0446015054715959,0.09196875,0.0413827883294913,Liquid Infrastructure,211130,0,,,,4.0,,,,,,,,,,,
FA.OQ,0.074037144374372,0.11771875,0.0165225872155156,SERVICES-BUSINESS SERVICES,,0,,,,1.0,,,,,,,,,,,
WLK.N,0.0547722069953133,0.0994453125,0.0362556329373207,Housing and Infrastructure Products,326122,0,,,,2.0,,,,,,,,,,,
BIP.N,0.039792602701147,0.2370625000000001,0.0550870107501336,Transport,"486210, 482112, 482111",0,,,,6.0,,,,,,,,,,,
KW.N,0.0710361298589096,0.3095000000000001,0.0395203150170037,Corporate,,0,,,,3.0,,,,,,,,,,,
IVZ.N,0.0783806124875658,0.1873125,0.0381777667739539,investment management,,0,,,,1.0,,,,,,,,,,,
VMC.N,0.0314037482320806,0.0452128906249999,0.0419559611188256,Concrete,327320,0,,,,5.0,,,,,,,,,,,
VTNR.OQ,0.1255858566858867,0.148375,0.3467636950635284,Refining & Marketing,324110,0,,,,3.0,,,,,,,,,,,
SUZB3.SA,0.0497020241726323,0.0978125,0.0518539613971838,Cellulose,322120,0,,,,2.0,,,,,,,,,,,
USIM5.SA,0.1064448256893309,0.1735,0.0532527211319056,Eliminations and Adjustments,,0,,,,4.0,,,,,,,,,,,
SORIANAB.MX,0.0603181697701185,0.0955,0.1036646516242146,Self-service stores,,0,,,,1.0,,,,,,,,,,,
HERDEZ.MX,0.0428340319341399,0.131,0.090335536384466,Preserved Products,424410,0,,,,3.0,,,,,,,,,,,
