Instrument,Revenue,Price Close,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Return On Equity - Actual,Company Market Cap,Common Shares - Outstanding - Total,Total Assets,Interest Expense,Total Liabilities,Dividend Payout Ratio - %,Interest Bearing Liabilities - Total,Shareholders Equity - Common,Total Capital,Total Debt,Long Term Growth - Mean,"Return on Average Common Equity - %, TTM",TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,TRBC Economic Sector Code,TRBC Business Sector Code,TRBC Industry Group Code,TRBC Industry Code,TRBC Activity Code,Depreciation Depletion & Amortization - Total,"WACC Tax Rate, (%)",Earnings before Interest & Taxes (EBIT),Country of Headquarters,Operating Profit before Non-Recurring Income/Expense,Capital Expenditures - Total,ESG Combined Score Grade,year
600886.SS,5292824028.94626,1.84379331463753,0.155787693298969,0.166617268041237,0.176868556701031,26.91,12512024480.1727,6786023347.0,28003720378.5256,1002842023.11999,21115421666.3637,34.9799994042509,19374911367.3984,3730112450.97992,26263210079.5603,19374911368.9843,21.986,26.9198308789459,Utilities,Utilities,Electric Utilities & IPPs,Independent Power Producers,Independent Power Producers (NEC),59,5910,591010,59101020,5910102010,900433353.438502,16.51138,2505753078.97033,China,2505753078.97033,2360360873.01105,,FY-8
600905.SS,,,,,,,,,,,,,,,,,,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Wind Electric Utilities,59,5910,591010,59101010,5910101023,,7.56797,,China,,,,FY-8
600995.SS,324131373.497083,1.23940302356316,,,,,593087067.014795,478526400.0,464939708.656481,9577991.0556929,240082394.425104,30.4273514757458,168665183.895819,224857314.231377,393522498.127196,168665183.895819,,7.61206283578208,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Hydroelectric & Tidal Utilities,59,5910,591010,59101010,5910101021,29080941.6568735,13.685839553358,30653149.0555236,China,30653149.0555236,53896240.9443972,,FY-8
601088.SS,40789253134.771,3.27015440157303,0.283382718026748,0.324109028088809,0.300251971063968,12.98,63987497541.8498,19890000000.0,87768913386.842,776235731.971196,29812236082.9062,39.3329591918544,14888953357.1866,47584534055.3783,72845630661.1224,14888953357.1866,,13.1848732833573,Energy,Energy - Fossil Fuels,Coal,Coal,Coal (NEC),50,5010,501010,50101010,5010101010,3556691995.65472,22.8746,10281958120.9786,China,10281958120.9786,7329113244.29767,B,FY-8
6013.T,864751914.751915,6.75539929683576,1.01851181825775,0.833375346609529,,,593118978.201908,82675760.0,1025024975.02497,1425878.81881218,587837162.837163,9.27886411757379,99034299.034299,434665334.665335,536222111.222111,99034299.034299,,16.7578059776256,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Environmental Services & Equipment,Environmental Services & Equipment (NEC),52,5220,522030,52203010,5220301010,6453015.68000897,29.40187,76924334.2251494,Japan,76924334.2251494,3518995.80283775,,FY-8
601778.SS,,,,,,,,,,,,,,,,,,,Utilities,Utilities,Electric Utilities & IPPs,Independent Power Producers,Renewable IPPs,59,5910,591010,59101020,5910102012,,11.263834098693,,China,,,,FY-8
601991.SS,11223705798.9234,1.1088547206911,0.058645791300137,0.073340327657171,,4.06,12865467387.3959,13310037578.0,48743088514.9728,1382566253.38405,38571876672.1465,96.2158257699524,33950063984.7855,7059923121.55498,44121275827.6118,33950063984.7855,14.52,4.03586156806175,Utilities,Utilities,Electric Utilities & IPPs,Independent Power Producers,Independent Power Producers (NEC),59,5910,591010,59101020,5910102010,1907186520.13009,33.06358,2359781623.16456,China,2359781623.16456,3305156069.43179,C+,FY-8
603212.SS,,,,,,,,,,,,,,,,,,,Energy,Renewable Energy,Renewable Energy,Renewable Energy Equipment & Services,Photovoltaic Solar Systems & Equipment,50,5020,502010,50201010,5020101013,,12.6024,,China,,,,FY-8
6504.T,6748901098.9011,20.2578268876611,1.72418128654971,1.90039390142022,,10.8,3024432606.62983,142885570.0,7530153180.15318,23316774.7871146,4869180819.18082,22.9787690328115,1885381285.38129,2417082917.08292,4546353646.35365,1885381285.38129,,10.8122939701114,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Electrical Components & Equipment,Electrical Components & Equipment (NEC),52,5210,521020,52102030,5210203010,307249464.707509,27.6398,359358023.336024,Japan,359358023.336024,139370514.290052,B+,FY-8
6806.TW,,,,,,,,,,,,,,,,,,,Energy,Renewable Energy,Renewable Energy,Renewable Energy Equipment & Services,Renewable Energy Equipment & Services (NEC),50,5020,502010,50201010,5020101010,,20.85319694048,,Taiwan,,,,FY-8
688599.SS,,,,,,,,,,,,,,,,,,,Energy,Renewable Energy,Renewable Energy,Renewable Energy Equipment & Services,Renewable Energy Equipment & Services (NEC),50,5020,502010,50201010,5020101010,,18.6342,,China,,,,FY-8
8031.T,44996087246.0872,13.5735811150176,1.25907220970031,1.47196518908089,1.61316144920277,7.7,24385130227.1094,1792519100.0,101589418914.419,459105558.911006,64981243756.2438,37.4361316845574,39909731934.7319,34130827505.8275,76517907092.9071,39909731934.7319,2.2,7.74398583448655,Industrials,Industrial & Commercial Services,Diversified Industrial Goods Wholesale,Diversified Industrial Goods Wholesale,Diversified Industrial Goods Wholesale,52,5220,522020,52202010,5220201010,2452941160.05236,22.17249,2068566275.64525,Japan,2068566275.64525,3458432514.03359,B,FY-8
