Instrument,Revenue,Price Close,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Return On Equity - Actual,Company Market Cap,Common Shares - Outstanding - Total,Total Assets,Interest Expense,Total Liabilities,Dividend Payout Ratio - %,Interest Bearing Liabilities - Total,Shareholders Equity - Common,Total Capital,Total Debt,Long Term Growth - Mean,"Return on Average Common Equity - %, TTM",TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,TRBC Economic Sector Code,TRBC Business Sector Code,TRBC Industry Group Code,TRBC Industry Code,TRBC Activity Code,Depreciation Depletion & Amortization - Total,"WACC Tax Rate, (%)",Earnings before Interest & Taxes (EBIT),Country of Headquarters,Operating Profit before Non-Recurring Income/Expense,Capital Expenditures - Total,ESG Combined Score Grade,year
BN.N,92769000000.0,31.46,3.07501,3.57513,,4.78,51532134808.44,,,,,,,,,225654000000.0,18.503,,Financials,Banking & Investment Services,Investment Banking & Investment Services,Investment Management & Fund Operators,Investment Management & Fund Operators (NEC),55,5510,551020,55102020,5510202010,,23.74702,,Canada,,,B+,FY0
BP.L,241392000000.0,5.74487388858646,1.04355,0.96588,1.06218,6.72,104310892039.782,,,,,,,,,55493000000.0,16.58775,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing,Oil & Gas Refining and Marketing (NEC),50,5010,501020,50102030,5010203010,,21.11201,,United Kingdom,,,C+,FY0
CBAV3.SA,1669433787.36285,2.03934985811578,0.187720647617583,0.216877912216448,0.154076045040876,18.08,1301905977.3269,,,,,,,,,568425085.130533,17.5,,Basic Materials,Mineral Resources,Metals & Mining,Aluminum,Aluminum (NEC),51,5120,512010,51201030,5120103010,,19.131595,,Brazil,,,B-,FY0
CMIG4.SA,7332091184.26031,1.99095744665153,0.328162701864529,0.325104950644832,,19.85,5336713216.14831,,,,,,,,,2068507567.15853,,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,,21.704433188233,,Brazil,,,B+,FY0
CMS.N,8151000000.0,63.33,3.10216,3.35004,3.60842,12.279,18381633954.66,,,,,,,,,13219000000.0,8.171,,Utilities,Utilities,Multiline Utilities,Multiline Utilities,Multiline Utilities,59,5910,591040,59104010,5910401010,,18.54141,,United States of America,,,B-,FY0
CPFE3.SA,7444993757.09421,5.75185620639425,0.718322270098211,0.778803653674962,,32.479,7237012373.81763,,,,,,,,,4801820658.34279,4.412,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,,26.63017,,Brazil,,,B+,FY0
CRBR.NS,566489897.760467,10.5806545208361,0.326573121183369,0.409004330584142,,15.97,2009304521.41155,,,,,,,,,33745861.7332035,,,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,,25.73664,,India,,,,FY0
CSNA3.SA,8392379871.35831,2.40189390900492,0.434284779428747,0.344144886962858,0.288411621065585,7.81,3650145086.80476,,,,,,,,,7872226258.04011,,,Basic Materials,Mineral Resources,Metals & Mining,Iron & Steel,Iron & Steel (NEC),51,5120,512010,51201020,5120102010,,19.131595,,Brazil,,,B-,FY0
CU.TO,92995793.0474574,27.0499667872168,1.65574518169781,1.74888185964396,1.8099199059446,9.349,7279146172.66814,,,,,,,,,7078751199.3505,2.0385,,Utilities,Utilities,Multiline Utilities,Multiline Utilities,Multiline Utilities,59,5910,591040,59104010,5910401010,,25.417993668022,,Canada,,,C+,FY0
DEHr.AT,11470075984.589,7.01519691780822,0.520872088697076,0.871663495370616,1.23318929734562,-0.19,2679805222.60274,,,,,,,,,5032216395.54795,,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,,23.279955,,Greece,,,C,FY0
DUK.N,28768000000.0,102.99,5.63425,5.98868,6.32667,8.22,79308764888.28,,,,,,,,,73703000000.0,5.65,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,,14.251177762879,,United States of America,,,B+,FY0
EDP.LS,20399197345.8904,4.98287671232877,0.29177298630603,0.325114825210513,0.322127243344391,7.33,19760499563.2191,,,,,,,,,23292005565.0685,10.82633,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,,18.92436,,Portugal,,,A-,FY0
ELE.MC,18807791095.8904,18.873073630137,1.56784746316822,1.70030477837655,1.86809107495017,46.45,19981906660.2044,,,,,,,,,19785958904.1096,6.1,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,,21.73913,,Spain,,,B,FY0
ELET6.SA,6446128074.15815,7.85943644721907,0.497411787144764,0.909286667938203,1.20389090215526,3.24,18395468958.2803,,,,,,,,,11324194097.6163,,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Hydroelectric & Tidal Utilities,59,5910,591010,59101010,5910101021,,19.131595,,Brazil,,,A-,FY0
EMA.TO,5600413314.63577,38.19470071592,2.37026647966339,2.48750276814055,2.60910164612091,7.53,10299780308.8788,,,,,,,,,14055649863.4586,5.22733,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,,13.112152930006,,Canada,,,B-,FY0
ENAE.WA,6870647173.04398,1.37064534551685,1.36742451636232,0.097179533538239,,1.24,726073456.996002,,,,,,,,,1255062935.46545,,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,,22.1354013297225,,Poland,,,C,FY0
ENEI.MI,95768407534.2466,5.38313356164384,0.631415589402278,0.672842271427962,0.702419045181108,18.489,54728596027.8039,,,,,,,,,95695633561.6438,4.8615,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,,29.91302650645,,Italy,,,B-,FY0
ENGIE.PA,100454837328.767,14.3279109589041,1.57354293658432,1.76353331194525,1.48988343492675,17.199,34892546797.1618,,,,,,,,,43440710616.4384,15.2,,Utilities,Utilities,Multiline Utilities,Multiline Utilities,Multiline Utilities,59,5910,591040,59104010,5910401010,,29.484179720479,,France,,,C+,FY0
ENJSA.IS,4518818244.57013,1.7932480568056,0.224640168880739,0.288134102394609,,93.769,2278931039.74251,,,,,,,,,1021762974.6954,,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,,16.563065,,Turkey,,,A,FY0
ENLT.TA,192172000.0,20.4999715278173,0.393705715309752,0.574662953874997,0.733241348860312,3.703,2082446602.81305,,,,,,,,,2160952000.0,,,Utilities,Utilities,Electric Utilities & IPPs,Independent Power Producers,Renewable IPPs,59,5910,591010,59101020,5910102012,,22.87289413018,,Israel,,,,FY0
EONGn.DE,123779965753.425,9.98929794520548,0.942345314763702,0.941330118545308,0.925932975899665,19.5,26384920461.4726,,,,,,,,,36548587328.7671,-2.96025,,Utilities,Utilities,Multiline Utilities,Multiline Utilities,Multiline Utilities,59,5910,591040,59104010,5910401010,,27.71121,,Germany,,,C+,FY0
ETR.N,13420765000.0,112.5,6.72374,7.19549,7.72106,10.589,22891911750.0,,,,,,,,,26828869000.0,,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,,22.05976,,United States of America,,,B-,FY0
EXC.OQ,19078000000.0,43.23,2.35976,2.50735,2.72113,7.57,42959467956.8999,,,,,,,,,40050000000.0,16.0,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,,7.011115918879,,United States of America,,,B-,FY0
FGEN.PS,2666706000.0,0.303584229390681,0.08091,0.08344,,10.919,1091863603.13082,,,,,,,,,1618167000.0,5.346,,Utilities,Utilities,Electric Utilities & IPPs,Independent Power Producers,Independent Power Producers (NEC),59,5910,591010,59101020,5910102010,,17.80633,,Philippines,,,,FY0
FORTUM.HE,8319777397.26027,16.6309931506849,1.50779337748344,1.48528741721854,1.24931390728477,15.66,14922399171.7679,,,,,,,,,8708261986.30137,-16.9355,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,,20.90979,,Finland,,,B+,FY0
FTEK.OQ,26941000.0,1.27,,0.04,0.09,,38627778.675,,,,,,,,,0.0,,,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Environmental Services & Equipment,Purification & Treatment Equipment,52,5220,522030,52203010,5220301011,,22.05976,,United States of America,,,,FY0
FTS.TO,8150417004.94501,39.9881910104067,2.2072317146283,2.32707583932854,2.4365332733813,6.589,19206667322.1344,,,,,,,,,21404531699.7564,5.8595,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,,14.277,,Canada,,,A-,FY0
GEG.HM,88658739.3223211,0.639319610334604,0.047843797824696,0.034202883343997,0.034565031349968,8.248,218169861.584074,,,,,,,,,420461020.731893,,,Utilities,Utilities,Electric Utilities & IPPs,Independent Power Producers,Renewable IPPs,59,5910,591010,59101020,5910102012,,8.89621,,Vietnam,,,,FY0
GPSC.BK,3573680921.12106,2.10921698930945,0.06959671641791,0.098954626865672,,3.35,5947421086.13117,,,,,,,,,3792974375.03612,,,Utilities,Utilities,Electric Utilities & IPPs,Independent Power Producers,Fossil Fuel IPPs,59,5910,591010,59101020,5910102011,,17.76103879044,,Thailand,,,B,FY0
