Instrument,Revenue,Price Close,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Return On Equity - Actual,Company Market Cap,Common Shares - Outstanding - Total,Total Assets,Interest Expense,Total Liabilities,Dividend Payout Ratio - %,Interest Bearing Liabilities - Total,Shareholders Equity - Common,Total Capital,Total Debt,Long Term Growth - Mean,"Return on Average Common Equity - %, TTM",TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,TRBC Economic Sector Code,TRBC Business Sector Code,TRBC Industry Group Code,TRBC Industry Code,TRBC Activity Code,Depreciation Depletion & Amortization - Total,"WACC Tax Rate, (%)",Earnings before Interest & Taxes (EBIT),Country of Headquarters,Operating Profit before Non-Recurring Income/Expense,Capital Expenditures - Total,ESG Combined Score Grade,year
0002.HK,10490243902.439,10.5134788189987,0.601008455113483,0.627501571701672,0.65485431287769,10.369,26561784554.9422,2526450570.0,28449679075.7381,221577146.446054,13131450577.6637,167.103285376852,6732734274.71117,13537227214.3774,22050962772.7856,6732734274.71117,-1.594,4.34202920170809,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010.0,1036153960.16651,19.751060057425,1790741569.49202,Hong Kong,1790741569.49202,1432465618.98852,A-,FY-3
0135.HK,14621793214.3986,0.627251101412067,0.110603178235807,0.121712700070087,0.132380533359826,13.49,7647311392.9448,8659000000.0,21244074808.2393,130206791.737267,9869861242.78204,93.9744118860916,5044241431.81361,7180326926.94418,16418454997.2708,5044241431.81361,,5.22806714711086,Utilities,Utilities,Natural Gas Utilities,Natural Gas Utilities,Natural Gas Distribution,59,5910,591020,59102010,5910201011.0,575719685.378906,28.5309,1016018513.94541,Hong Kong,1016018513.94541,1438502620.1719,C,FY-3
FPE3_p.DE,2883214133.57846,49.4457507557944,1.93247005503399,2.0834142656739,2.48949710725412,15.119,6545342066.95778,139000000.0,2267784678.16066,4477206.17779703,517902383.247764,58.8311403508772,29146021.568056,1748761294.08336,1779028316.48095,29146021.568056,-1.054,15.1243781094527,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010.0,81709012.7447957,28.07571,366011605.034907,Germany,366011605.034907,172372437.845186,B-,FY-3
WWGG.F,2173396408.31334,1209.27107826671,,,,,4156869331.54182,3437500.0,2534919175.84019,13991269.3056157,1650449521.33265,61.4856297548605,196959845.750286,883124453.512096,1081429500.25783,196959845.750286,,15.112416964742,Utilities,Utilities,Natural Gas Utilities,Natural Gas Utilities,Natural Gas Distribution,59,5910,591020,59102010,5910201011.0,55517356.6046831,1.88679,78239177.957003,Germany,78239177.957003,65031419.7325018,,FY-3
0003.HK,5215417201.54044,1.77214249589217,0.057412180098451,0.060941728305972,0.060077059869591,11.0,33067945462.6033,18659907418.8062,18032105263.1579,157044078.909692,8353453145.05777,85.0424221542702,5051142490.37227,8242541720.15405,14729794608.4724,5051142490.37227,7.702,11.003387565447,Utilities,Utilities,Natural Gas Utilities,Natural Gas Utilities,Natural Gas Distribution,59,5910,591020,59102010,5910201011.0,352762049.163366,22.00713,871528266.91414,Hong Kong,871528266.91414,900208212.079133,B,FY-3
1314.TW,990474238.523521,0.321635547828413,,,,2.589,928868610.585442,2887959576.61393,3225400046.80865,4548411.20867355,978789862.583169,56.6858756857406,558877963.154903,2244032532.01378,2805488147.38039,558877963.154903,,2.59443554182787,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010.0,46699912.418716,20.18595,-13245083.2810404,Taiwan,-13245083.2810404,171824596.993494,B,FY-3
0154.HK,177678177.150193,0.082156611039795,,,,-40.75,123264505.263157,1500360150.0,1147570988.44673,9189963.20349213,748217329.910141,0.0,402322849.807446,361708600.770218,801676508.344031,402322849.807445,,8.12081684677034,Energy,Renewable Energy,Renewable Energy,Renewable Energy Equipment & Services,Renewable Energy Equipment & Services (NEC),50,5020,502010,50201010,5020101010.0,22352105.1941661,12.857854161616,52968680.5682757,Hong Kong,52968680.5682757,22920343.3600519,,FY-3
FSEI.PK,23923000.0,0.05,,,,,214400.0,,,276000.0,,0.0,,,,2425000.0,,,Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil Related Services and Equipment,Oil Related - Surveying & Mapping Services,50,5010,501030,50103020,5010302013.0,11110000.0,,2466000.0,United States of America,2466000.0,167000.0,,FY-3
0295.HK,298730788.014594,0.009370988446727,,,,1.85,140231617.957252,14964442000.0,2682077192.68005,129227126.843707,1893014163.00382,,1460962969.34701,777215806.257003,2250025999.02324,1460962969.34701,,-11.7100967903414,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Solar Electric Utilities,59,5910,591010,59101010,5910101022.0,79064924.1181391,20.86378,95798452.1307811,Hong Kong,95798452.1307811,19308841.6543331,,FY-3
LECG.F,1644313162.79174,111.969544283955,,,,,3968720188.10883,35444640.0,2174709100.28473,,1566650225.32117,70.9955777995397,,608058874.963567,608058874.963567,0.0,,26.7953269354346,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010.0,57649626.046859,27.50700415386,102483249.409774,Germany,102483249.409774,,,FY-3
