Instrument,Revenue,Price Close,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Return On Equity - Actual,Company Market Cap,Common Shares - Outstanding - Total,Total Assets,Interest Expense,Total Liabilities,Dividend Payout Ratio - %,Interest Bearing Liabilities - Total,Shareholders Equity - Common,Total Capital,Total Debt,Long Term Growth - Mean,"Return on Average Common Equity - %, TTM",TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,TRBC Economic Sector Code,TRBC Business Sector Code,TRBC Industry Group Code,TRBC Industry Code,TRBC Activity Code,Depreciation Depletion & Amortization - Total,"WACC Tax Rate, (%)",Earnings before Interest & Taxes (EBIT),Country of Headquarters,Operating Profit before Non-Recurring Income/Expense,Capital Expenditures - Total,ESG Combined Score Grade,year
CSX.OQ,14853000000.0,30.98,1.88542,2.04731,2.24215,31.609,65132622424.42,2066367000.0,41912000000.0,742000000.0,29287000000.0,20.4512722035526,18047000000.0,12615000000.0,30672000000.0,18047000000.0,9.0815,31.9172572304156,Industrials,Transportation,Freight & Logistics Services,Ground Freight & Logistics,Railway Freight Operators,52,5240,524050,52405030,5240503011,1500000000.0,23.11803,5807000000.0,United States of America,5807000000.0,2133000000.0,C+,FY0
CPB.N,9357000000.0,56.75,3.06242,3.26043,3.38322,25.809,16994784257.0,298000000.0,12058000000.0,188000000.0,8395000000.0,52.0979020979021,4689000000.0,3661000000.0,8352000000.0,4689000000.0,5.35,24.5423340961098,Consumer Non-Cyclicals,Food & Beverages,Food & Tobacco,Food Processing,Food Processing (NEC),54,5410,541020,54102020,5410202010,387000000.0,23.84,1396000000.0,United States of America,1396000000.0,370000000.0,A-,FY0
FLR.N,13744000000.0,34.66,1.64773,2.35441,2.58539,8.869,4924780928.58,142322247.0,6827000000.0,59000000.0,4831000000.0,0.0,1143000000.0,1786000000.0,3139000000.0,1143000000.0,36.865,6.66876376218937,Industrials,Industrial & Commercial Services,Construction & Engineering,Construction & Engineering,Construction & Engineering (NEC),52,5220,522010,52201020,5220102010,73000000.0,22.05976,118000000.0,United States of America,118000000.0,75000000.0,B,FY0
ROK.N,9058000000.0,257.57,12.93859,13.87812,15.31126,44.75,29555144219.62,114800000.0,11304000000.0,135300000.0,7560600000.0,39.3774882374231,2966200000.0,3561600000.0,6709600000.0,2966200000.0,12.05667,43.9464308436188,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Electrical Components & Equipment,Electrical Components & Equipment (NEC),52,5210,521020,52102030,5210203010,250400000.0,14.39083,1612300000.0,United States of America,1612300000.0,160500000.0,B-,FY0
UNP.N,24875000000.0,207.07,11.71341,12.95109,13.82119,53.689,127306801656.0,612393321.0,65449000000.0,1271000000.0,53286000000.0,45.1557587882252,33326000000.0,12163000000.0,45489000000.0,33326000000.0,8.50767,53.1682115180064,Industrials,Transportation,Freight & Logistics Services,Ground Freight & Logistics,Railway Freight Operators,52,5240,524050,52405030,5240503011,2246000000.0,23.05968,9917000000.0,United States of America,9917000000.0,3620000000.0,A-,FY0
ATD.TO,71856700000.0,43.9146800501882,2.91175,3.18276,3.62632,25.21,44200264021.3299,981300000.0,29049200000.0,352900000.0,16484700000.0,12.2197418227701,9465900000.0,12564500000.0,22030400000.0,9465900000.0,5.07,24.7251230896605,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing,Gasoline Stations,50,5010,501020,50102030,5010203012,1533500000.0,19.45759,4202000000.0,Canada,4202000000.0,1803800000.0,B-,FY0
APD.N,12600000000.0,308.26,12.96772,14.30693,16.67094,18.3,68429930559.82,222199845.0,32002500000.0,177500000.0,16342200000.0,66.5648988136776,10305800000.0,14312900000.0,25966100000.0,10305800000.0,10.27,16.7010842447618,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Industrial Gases,51,5110,511010,51101010,5110101015,1358300000.0,19.12295,2739200000.0,United States of America,2739200000.0,4626400000.0,A-,FY0
AB.N,305504000.0,34.37,2.69735,3.07344,,16.22,3450783882.27999,113701097.0,2074626000.0,,1623000.0,131.55216749038,,2073003000.0,2073003000.0,0.0,-7.228,14.8412816774197,Financials,Banking & Investment Services,Investment Banking & Investment Services,Investment Management & Fund Operators,Investment Management,55,5510,551020,55102020,5510202011,,10.0112,305504000.0,United States of America,305504000.0,,D,FY0
ABM.N,7806600000.0,44.42,3.66563,4.17255,4.53272,15.019,2913982383.28,65587894.0,4868900000.0,41100000.0,3151700000.0,22.5260416666667,1277000000.0,1717200000.0,2994200000.0,1277000000.0,5.51,13.8528138528139,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Business Support Services,Business Support Services (NEC),52,5220,522030,52203040,5220304010,114100000.0,22.05976,341200000.0,United States of America,341200000.0,52900000.0,A-,FY0
ARE.TO,3466270573.47406,6.72374344970108,0.36386949812624,0.586861635682269,,3.25,410227865.421802,61535925.0,2632679164.51399,43683736.7178886,1928571850.32106,148.806820052006,670942504.981918,704107314.192929,1375049819.17485,670942504.981918,,3.25354834460561,Industrials,Industrial & Commercial Services,Construction & Engineering,Construction & Engineering,Construction & Engineering (NEC),52,5220,522010,52201020,5220102010,72399705.384699,28.352606813845,53669425.6935527,Canada,53669425.6935527,31767194.129265,B,FY0
