,Instrument,TRBC Activity Code,Return On Equity - Actual,"Return on Average Common Equity - %, TTM",year
3717,3393.HK,5210203019,6.969,6.97250057333091,FY0
3718,086520.KQ,5110101010,2.942,2.94189619568118,FY0
3722,3501.TW,5210203012,12.115,12.1146813113408,FY0
3723,1407.T,5220102021,20.4,20.4191769198133,FY0
3725,1292.HK,5240503010,20.521,1.95464424834679,FY0
3727,3323.HK,5120201010,7.66,7.59190210966804,FY0
3735,002051.SZ,5220102010,3.08,3.08413075080091,FY0
3737,0272.HK,6010101050,4.879,2.29117669372582,FY0
3740,601001.SS,5010101010,23.03,22.8028212231521,FY0
3745,3900.HK,6010101010,12.509,7.31070556646392,FY0
3748,002057.SZ,5110101010,13.75,13.5002576976054,FY0
3751,3983.HK,5110102010,10.054,10.0851344471848,FY0
3752,002061.SZ,5220102012,13.62,13.9008001490352,FY0
3753,002062.SZ,5220102010,9.167,9.1666324090328,FY0
3755,002066.SZ,5120201010,11.74,10.6483834957162,FY0
3759,7826.T,5120101010,23.3,23.2954404735369,FY0
3760,601699.SS,5010101010,33.99,33.7064064306171,FY0
3764,2127.T,5220304013,18.7,18.711943824408,FY0
3767,092230.KS,5110101010,3.727,1.08020635923634,FY0
3768,002074.SZ,5210203011,1.47,1.46081701995055,FY0
3774,0609.HK,5110101010,41.899,41.9027833141162,FY0
3776,002078.SZ,5130102011,13.429,13.2930595830589,FY0
3777,002081.SZ,5220102010,10.78,10.7792713899296,FY0
3779,601666.SS,5010101010,30.28,29.7936070279014,FY0
3780,3526.TWO,5210203013,22.1,22.1020493477317,FY0
3782,002092.SZ,5110101016,2.79,2.76844708511074,FY0
3784,2233.HK,5120201012,10.41,10.4069492520015,FY0
3785,3708.T,5130102011,5.7,5.71523462906328,FY0
3787,002100.SZ,5410202010,3.99,3.96390737974881,FY0
3791,0656.HK,5510202010,1.7,0.42474691934402,FY0
3792,093370.KS,5110101015,31.595,31.5950400946467,FY0
3801,601003.SS,5120102013,-20.93,-20.6606360769372,FY0
3803,002116.SZ,5220102010,13.15,13.1073499392702,FY0
3804,002121.SZ,5210203010,-14.14,-12.4364941721474,FY0
3807,002124.SZ,5410201028,13.31,13.0140714984084,FY0
3808,002125.SZ,5110101010,18.093,17.7513427140057,FY0
3811,002129.SZ,5020101013,19.679,19.4090719016775,FY0
3812,002128.SZ,5120103010,18.129,18.0784571705703,FY0
3814,2007.HK,6010101010,-3.008,-3.00525621894871,FY0
3816,3889.HK,5410202022,6.428,,FY0
3818,091580.KQ,5210203011,17.045,21.8839736500834,FY0
3823,0819.HK,5120105017,13.101,12.4401795253946,FY0
3824,002138.SZ,5710401014,7.81,7.5926205590096,FY0
3827,4461.T,5110101010,-1.1,-1.14464099895942,FY0
3829,1786.T,5220102010,9.7,9.73128551224475,FY0
3832,2875.T,5410202010,8.9,8.86836398682837,FY0
3833,6925.T,5210203010,6.798,5.71731450237995,FY0
3837,2208.T,5410202010,2.054,2.06158418448921,FY0
3840,8864.T,6010101010,2.9,2.90721886920575,FY0
3845,3232.T,6010101010,7.5,7.49555984459237,FY0
3846,3231.T,6010101010,10.1,10.1314720234286,FY0
3847,015760.KS,5910101010,-73.069,-46.9047617313124,FY0
3848,009070.KS,5240503010,4.005,11.1411318220024,FY0
3849,036460.KS,5910201010,15.6,16.1661751301227,FY0
3851,3150.T,5220301010,27.6,27.4268108890732,FY0
3854,5857.T,5220301010,10.3,10.3058078022009,FY0
3855,2269.T,5410202010,10.0,10.0232881478776,FY0
3866,601668.SS,5220102010,14.179,14.2051530797188,FY0
3870,002276.SZ,5210203012,8.77,8.52416275192805,FY0
3876,601618.SS,5220102010,8.99,10.3843479451297,FY0
3877,2270.T,5410202019,4.4,4.350695925482,FY0
3879,052690.KS,5220102022,3.398,3.39759169161518,FY0
3881,1668.HK,6010101010,1.596,-3.54399329620926,FY0
3887,1717.HK,5410202019,8.449,3.88358917851684,FY0
3888,002299.SZ,5410201012,4.12,4.1026263324098,FY0
3890,300012.SZ,5220304024,18.18,17.8447848197728,FY0
3893,300014.SZ,5210203011,14.519,14.164651836509,FY0
3896,1238.HK,6010101010,0.997,0.996950765731582,FY0
3898,002302.SZ,5120201012,5.879,5.92638733954339,FY0
3901,1628.HK,6010101010,-13.639,-70.9690053094874,FY0
3907,0960.HK,6010101010,16.879,18.2453339268011,FY0
3910,002311.SZ,5410201024,18.46,17.9533716391399,FY0
3912,002312.SZ,5110101010,12.54,12.5084977025665,FY0
3913,002314.SZ,6010101050,6.87,6.63583905727675,FY0
3914,002318.SZ,5120102010,22.37,21.8763281275775,FY0
3916,1638.HK,6010101010,12.454,-100.885351171253,FY0
3918,0916.HK,5910101023,10.14,7.81928712436532,FY0
3919,1866.HK,5110102011,13.759,20.8441676421736,FY0
3921,002324.SZ,5110101011,7.379,7.29814507604425,FY0
3922,601139.SS,5910201011,9.65,9.29002835091729,FY0
3925,1918.HK,6010101010,-42.42,-39.2641417233508,FY0
3927,300035.SZ,5110101010,8.66,9.77629939341305,FY0
3929,DPDL.SI,6010101010,-14.99,-12.6920642168512,FY0
3934,601117.SS,5220102017,10.71,10.6334348361725,FY0
3936,002334.SZ,5210203010,13.1,12.9003328348206,FY0
3937,002335.SZ,5220304017,6.86,6.80382391213527,FY0
3941,300048.SZ,5210203010,1.399,1.39527191126454,FY0
3942,002340.SZ,5220301010,7.919,7.80124237830466,FY0
3944,601877.SS,5210203010,11.95,11.5643426042219,FY0
3945,002344.SZ,6010101010,3.321,3.19077820466307,FY0
3947,DQ.N,5020101013,53.009,52.2230887164988,FY0
3948,1313.HK,5120201012,3.719,3.7193679717367,FY0
3950,JKS.N,5020101013,10.47,4.53138819112982,FY0
3951,300054.SZ,5110101010,8.99,8.98720124736089,FY0
3952,1966.HK,6010101010,0.118,0.118292748961498,FY0
3953,300055.SZ,5220102018,-1.39,1.54491505382192,FY0
3955,300057.SZ,5120103012,4.519,4.44282502162878,FY0
3956,1938.HK,5120102015,-73.07,14.8940164576534,FY0
3957,601678.SS,5110101010,10.4,10.9110705217802,FY0
3959,002361.SZ,5110101011,4.04,1.10629382935128,FY0
3963,5020.T,5010203010,5.0,5.02623050716975,FY0
3971,0830.HK,5220102010,22.42,22.4206895452105,FY0
3974,002385.SZ,5410201024,0.52,0.510993480921522,FY0
