Instrument,Revenue,Price Close,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Return On Equity - Actual,Company Market Cap,Common Shares - Outstanding - Total,Total Assets,Interest Expense,Total Liabilities,Dividend Payout Ratio - %,Interest Bearing Liabilities - Total,Shareholders Equity - Common,Total Capital,Total Debt,Long Term Growth - Mean,"Return on Average Common Equity - %, TTM",TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,TRBC Economic Sector Code,TRBC Business Sector Code,TRBC Industry Group Code,TRBC Industry Code,TRBC Activity Code,Depreciation Depletion & Amortization - Total,"WACC Tax Rate, (%)",Earnings before Interest & Taxes (EBIT),Country of Headquarters,Operating Profit before Non-Recurring Income/Expense,Capital Expenditures - Total,year
0002.HK,9883776427.64083,9.24886807786076,0.604541292094979,0.619640669134433,0.623605432525505,10.67,23366808027.1661,2526450570.0,30214645976.0329,209520067.537391,13965016833.7139,68.3659217877095,7038814287.37278,14473124105.1043,23288443429.6918,7038814287.37278,,10.5267510509752,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,1092856672.27503,19.751060057425,1897413731.61861,Hong Kong,1897413731.61861,1423060298.71396,FY-2
0135.HK,16743448275.8621,0.613811023825187,0.090151933701657,0.085240945365255,0.107384898710866,9.116,7483452838.97682,8659000000.0,23752950191.5709,102688316.892059,10798620689.6552,567.597765363128,4342835249.04215,8212107279.69349,17297164750.9579,4342835249.04215,,6.91306530722589,Utilities,Utilities,Natural Gas Utilities,Natural Gas Utilities,Natural Gas Distribution,59,5910,591020,59102010,5910201011,638466060.67633,28.5309,1053425488.11726,Hong Kong,1053425488.11726,986562050.140935,FY-2
FPE3_p.DE,2904250122.12995,57.0978926402243,2.14415572054064,2.35583238149629,2.49215924233771,14.02,7202590552.53645,139000000.0,2589154860.77186,6848785.0334784,659501709.819248,62.2340909090909,36638983.8788471,1928431851.48999,1966292134.83146,36638983.8788471,8.26467,14.0172029308697,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,91317133.779712,28.07571,351570965.051891,Germany,351570965.051891,139258629.014061,FY-2
WWGG.F,2091231069.85833,1745.88732879239,,,,,6001487692.72383,3437500.0,2678676111.38251,10273177.5502176,1717391304.34783,76.8895348837209,260136785.539814,959819247.679531,1221421592.5745,260136785.539814,,12.0226218466035,Utilities,Utilities,Natural Gas Utilities,Natural Gas Utilities,Natural Gas Distribution,59,5910,591020,59102010,5910201011,52849791.1750083,1.88679,51822473.4199865,Germany,51822473.4199865,71113217.9309507,FY-2
0003.HK,5279336454.98755,1.4226193490964,0.051217596229379,0.057505827205646,,9.169,26545890926.8836,18659888758.6888,19385240509.2682,163567481.647959,9174941630.22587,103.540692157875,5551113862.9826,8611444345.54906,15761412742.0249,5551113862.9826,,9.17369828790108,Utilities,Utilities,Natural Gas Utilities,Natural Gas Utilities,Natural Gas Distribution,59,5910,591020,59102010,5910201011,380978397.267374,22.00713,1041334075.97476,Hong Kong,1041334075.97476,940571040.417546,FY-2
1314.TW,626290008.90472,0.407329645592164,,,,,2729578827.93944,3346390114.20014,3736776135.35174,7533398.8451855,1212536384.68388,0.0,800305859.305432,2522266856.63402,3324545609.97329,800305859.305432,,0.987445672482427,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,33646757.6459258,20.0993,-61600473.7451217,Taiwan,-61600473.7451217,131336087.207982,FY-2
0154.HK,230978032.32589,0.073526566309353,,,,-40.75,110316330.056886,1500360150.0,1258020587.43857,9717863.07094962,794730338.093211,0.0,416541413.515989,412070611.302452,879831662.861344,416541413.515989,,4.29216901286633,Energy,Renewable Energy,Renewable Energy,Renewable Energy Equipment & Services,Renewable Energy Equipment & Services (NEC),50,5020,502010,50201010,5020101010,27394007.4518133,12.857854161616,50014309.6848547,Hong Kong,50014309.6848547,56706960.8514168,FY-2
FSEI.PK,23923000.0,0.083,,,,,355904.0,2872820.0,16354000.0,570000.0,10865000.0,0.0,2041000.0,5489000.0,7530000.0,2425000.0,,,Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil Related Services and Equipment,Oil Related - Surveying & Mapping Services,50,5010,501030,50103020,5010302013,6807000.0,,1768000.0,United States of America,1768000.0,123000.0,FY-2
0295.HK,226545440.613027,0.011609457838319,,,,1.85,173729064.498277,14964442000.0,2192079386.97318,106654290.532025,1471342528.73563,,1033170727.96935,708191724.137931,1753907586.2069,1033170727.96935,,-12.4966556257459,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Solar Electric Utilities,59,5910,591010,59101010,5910101022,62765042.8203674,20.86378,79786211.5052085,Hong Kong,79786211.5052085,4063730.59700804,FY-2
LECG.F,1541618221.78798,122.949811886788,,,,,4357911820.39491,35444640.0,2080859794.82169,,1397145823.15584,85.0829371168931,,683713971.665853,683713971.665853,0.0,,21.1648899977319,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,8005088.239964,27.527673163606,37975371.5464655,Germany,37975371.5464655,,FY-2
HENY.KL,1785111194.02985,1.49004975124378,,,,-6.374,447014925.373134,300000000.0,1119129104.47761,5227600.75879359,579730845.771144,4.78120032034042,204807213.930348,539398258.706468,744205472.636816,204807213.930348,,12.0095489558641,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing,Petroleum Refining,50,5010,501020,50102030,5010203011,28434907.6825172,24.98788,64709786.8949954,Malaysia,64709786.8949954,49990302.2971836,FY-2
FTS.TO,7018853102.90652,40.8483896307934,2.19974791239956,2.32668977469671,2.46636993855365,6.42,18978473087.1956,466800000.0,43582875098.1932,777815505.924774,27648860958.3661,75.682382133995,19505106048.7038,13412411626.0801,35439120188.531,19505106048.7039,5.25,7.11553175210406,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,1065950616.56485,14.277,1872131755.14331,Canada,1872131755.14331,3014968165.48,FY-2
UP.BK,16226239.0146471,0.564462257849031,,,,10.914,14111556.4462257,25000000.0,20962106.7576565,375.588918161123,5023289.04793609,,86140.1131824234,15938817.7097204,16024957.8229028,86140.1464713715,,-5.52204731649238,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,1080641.79962148,18.52329,-2057768.61290453,Thailand,-2057768.61290453,1151947.30135682,FY-2
AES.N,9660000000.0,23.5,1.56446,1.68043,1.78601,44.299,15630581978.0,665370128.0,34603000000.0,1038000000.0,29883000000.0,897.674418604651,19881000000.0,2634000000.0,25473000000.0,19881000000.0,7.4,1.52753108348135,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,1068000000.0,35.16484,2572000000.0,United States of America,2572000000.0,1900000000.0,FY-2
2HR.DE,1066234733.75672,6.72535471020729,0.112644144197861,0.208688600832369,0.392512817996713,-2.854,250329444.783239,37221746.0,910741328.773815,5978989.33422664,487094528.578408,,216805080.605765,375650952.613581,640451880.801172,216805080.605765,,-2.85449812891129,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,58219238.6412554,28.38682,6031496.68614998,Germany,6031496.68614998,43656438.7317358,FY-2
